id,created_at,edit_history_tweet_ids,text,clean_text
1.5322590460609208e+18,2022-06-02 07:13:19+00:00,['1532259046060920832'],"@Bren4Bassetlaw You think you’re in a safe seat , and that kind of nonsense will keep you in a job after the next election ? Blimey, that’s delusional",think youre safe seat kind nonsense keep job next election blimey thats delusional
1.5322577050622894e+18,2022-06-02 07:07:59+00:00,['1532257705062289409'],"@DavidGHFrost @Tobias_Ellwood Ellwood (elected, seemingly relatively sane, thoughtful) is correct and you (unelected, professional troll, obsessed with justifying the crap deal you negotiated, self-evidently not very bright) are catastrophically wrong.  Enjoy your Jubilee!",ellwood elected seemingly relatively sane thoughtful correct unelected professional troll obsessed justifying crap deal negotiated selfevidently bright catastrophically wrong enjoy jubilee
1.532256118063485e+18,2022-06-02 07:01:41+00:00,['1532256118063484928'],@Pandamoanimum Sounds suspiciously like the kind of chatter one might overhear chez @David_Cameron,sound suspiciously like kind chatter one might overhear chez
1.5322552693082194e+18,2022-06-02 06:58:18+00:00,['1532255269308219394'],Read the replies… #privilege #neoliberals #elites #bullshit #inequality #Britain https://t.co/7E7n9pieOO,read reply
1.5322508131538043e+18,2022-06-02 06:40:36+00:00,['1532250813153804288'],"Landing at Heathrow the drab chaos of Johnson’s Brexit Britain is palpable - eyed up by surly, suspicious immigration officials, you are packed in lines of grubby pens staffed by visibly stressed, underpaid security workers &amp; pass by arcades of impossibly priced kuxury goods",landing heathrow drab chaos johnson brexit britain palpable eyed surly suspicious immigration official packed line grubby pen staffed visibly stressed underpaid security worker amp pas arcade impossibly priced kuxury good
1.532099314608218e+18,2022-06-01 20:38:36+00:00,['1532099314608218113'],"@SimonClarkeMP ...and what freedoms would those be, exactly? Can you name any meaningful ways in which brexit has improved things in the UK?",freedom would exactly name meaningful way brexit improved thing
1.532043865443783e+18,2022-06-01 16:58:16+00:00,['1532043865443782656'],"Pleased that @PCRC_UWS is collaborating with colleagues at @TISSpeak, Mumbai &amp; @EdinUniHealth  for this seminar on an important topic -- we also have more events planned for World Refugee Day on June 20th, details coming soon https://t.co/yVwcFVW93X",pleased collaborating colleague mumbai amp seminar important topic also event planned world refugee day june detail coming soon
1.532026877296132e+18,2022-06-01 15:50:45+00:00,['1532026877296132098'],he's being braver than @UKLabour... Yes of course we should rejoin the single market...but who on the opposition front benches will have the guts to say so openly? https://t.co/KBQBW7dPta,he's braver yes course rejoin single marketbut opposition front bench gut say openly
1.532010115888517e+18,2022-06-01 14:44:09+00:00,['1532010115888517122'],Help fund a legal challenge to the Government's plan to send refugees to Rwanda: https://t.co/TsXn8XqNvg,help fund legal challenge government's plan send refugee rwanda
1.530602284299833e+18,2022-05-28 17:29:56+00:00,['1530602284299833344'],@NYorksPolice please investigate 👇👇😬😬 https://t.co/2jBrS7nbYW,please investigate
1.5305499406984847e+18,2022-05-28 14:01:56+00:00,['1530549940698484738'],"Saturday Evening, just near Dharavi T-junction https://t.co/yB77KQpQR6",saturday evening near dharavi tjunction
1.5301578339452396e+18,2022-05-27 12:03:51+00:00,['1530157833945239553'],Photo mapping workshop in progress ⁦@Compound13Lab⁩ https://t.co/EUtz1QJHKS,photo mapping workshop progress
1.5298808376799928e+18,2022-05-26 17:43:10+00:00,['1529880837679992834'],"@alxaraya north of Mumbai, big plastic recycling centres linked to what happens in Dharavi - see https://t.co/WcfIBzqwey for background",north mumbai big plastic recycling centre linked happens dharavi see background
1.5297497721727713e+18,2022-05-26 09:02:21+00:00,['1529749772172771331'],This stuff will end up in an industrial boiler - scope for an experimental waste to energy project here https://t.co/SAvLnwcyjq,stuff end industrial boiler scope experimental waste energy project
