Unnamed: 0,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,whitespace
873,1.4347245933072015e+18,2021-09-06 03:46:13+00:00,['1434724593307201538'],@Patrick_Bamford Many congrats on a well deserved England debut.,, many congrats on a well deserved england debut,True,False
890,1.4298985151032975e+18,2021-08-23 20:09:06+00:00,['1429898515103297541'],https://t.co/JwAvNcPRt1,,,True,False
893,1.4287830918127985e+18,2021-08-20 18:16:49+00:00,['1428783091812798470'],https://t.co/tcB8bNADJ7,,,True,False
901,1.4284185214537114e+18,2021-08-19 18:08:08+00:00,['1428418521453711376'],https://t.co/90JuAuK7qq,,,True,False
908,1.426851919226712e+18,2021-08-15 10:23:01+00:00,['1426851919226712067'],@GWRHelp paid for first class on 10.20 from Cardiff to London and within 30 mins first class was opened up to everyone. What is the point of paying for first class when it us not available?,, paid for first class on 1020 from cardiff to london and within 30 mins first class was opened up to everyone what is the point of paying for first class when it us not available,True,False
919,1.4267524540294554e+18,2021-08-15 03:47:47+00:00,['1426752454029455366'],@AnythingLFC_ Impressive start. Full of energy and looked at home.,, impressive start full of energy and looked at home,True,False
927,1.425391577279746e+18,2021-08-11 09:40:09+00:00,['1425391577279746049'],@PDSA_HQ Received a letter about paying a bill and threatening all sorts. Tried to call - long queue. Emailed and auto reply says email is not for this purpose. Please advise...,, received a letter about paying a bill and threatening all sorts tried to call  long queue emailed and auto reply says email is not for this purpose please advise,True,False
928,1.4247059635678167e+18,2021-08-09 12:15:46+00:00,['1424705963567816705'],Here's my Premier League table for 2021-22 - what's yours? https://t.co/147e4yCjOg #bbcfootball,,heres my premier league table for 202122  whats yours  ,True,False
947,1.4238033715139584e+18,2021-08-07 00:29:11+00:00,['1423803371513958400'],https://t.co/0GV50eIkUI,,,True,False
957,1.4228330382878351e+18,2021-08-04 08:13:25+00:00,['1422833038287835137'],@AnnieChave Win for England. India have not had a good record here in recent years.,, win for england india have not had a good record here in recent years,True,False
998,1.417813616435376e+18,2021-07-21 11:48:02+00:00,['1417813616435376130'],https://t.co/IpHWNOpYiS,,,True,False
1051,1.4069881247403295e+18,2021-06-21 14:51:24+00:00,['1406988124740329482'],@LePinchHitter Ben Stokes @trentbridge v Aus in 2015.,, ben stokes  v aus in 2015,True,False
1068,1.402752790519337e+18,2021-06-09 22:21:41+00:00,['1402752790519336964'],@JHenderson @LFC Jordan glaring at Diego Costa and Costa walking away - always makes me smile. #YNWA,,  jordan glaring at diego costa and costa walking away  always makes me smile ,True,False
1070,1.402751873598296e+18,2021-06-09 22:18:03+00:00,['1402751873598296075'],@JHenderson @LFC The first interview with Jurgen - turning doubters into believers. I knew we were on a new and exciting journey. #YNWA,,  the first interview with jurgen  turning doubters into believers i knew we were on a new and exciting journey ,True,False
1091,1.3998191193488876e+18,2021-06-01 20:04:20+00:00,['1399819119348887555'],Here is my England XI to face Poland. Who would you pick? https://t.co/avYPpr685W #bbcfootball via @bbcsport,,here is my england xi to face poland who would you pick   via ,True,False
1092,1.399677027209429e+18,2021-06-01 10:39:42+00:00,['1399677027209428994'],https://t.co/hPMEOqGIj0,,,True,False
1116,1.3946785172673208e+18,2021-05-18 15:37:25+00:00,['1394678517267320835'],https://t.co/u1tK5NC9fH,,,True,False
1132,1.393873845090759e+18,2021-05-16 10:19:56+00:00,['1393873845090758656'],https://t.co/3ajVJSlGQL,,,True,False
1133,1.393355501442904e+18,2021-05-15 00:00:13+00:00,['1393355501442904065'],@sixtimesclub_ Pleasing!,, pleasing,True,False
1134,1.393355438654169e+18,2021-05-14 23:59:58+00:00,['1393355438654169090'],Is it me or is Mark Chapman beginning to look a lot like Jurgen? #YNWA https://t.co/VO2UYVgpxc,,is it me or is mark chapman beginning to look a lot like jurgen  ,True,False
1144,1.3915784037117256e+18,2021-05-10 02:18:40+00:00,['1391578403711725571'],https://t.co/sRwj0RrN6u,,,True,False
1145,1.39146025667337e+18,2021-05-09 18:29:11+00:00,['1391460256673370118'],https://t.co/Ol7JZvtImm,,,True,False
1163,1.3899135942472294e+18,2021-05-05 12:03:18+00:00,['1389913594247229446'],"@TheRedmenTV Kenny, Robbie and Mo.",, kenny robbie and mo,True,False
1166,1.3899112819567045e+18,2021-05-05 11:54:07+00:00,['1389911281956704258'],https://t.co/7k7UlPbBIv,,,True,False
1169,1.388876171971113e+18,2021-05-02 15:20:58+00:00,['1388876171971112961'],@GNev2 Well said Gary. You should be among those running football in this country. Fans should never walk alone. #YNWA,, well said gary you should be among those running football in this country fans should never walk alone ,True,False
1173,1.385821649514242e+18,2021-04-24 05:03:23+00:00,['1385821649514242048'],@Patrick_Bamford @LUFC Quoted on #HGNFY too. A powerful voice making a difference in football. Well done Patrick.,,  quoted on  too a powerful voice making a difference in football well done patrick,True,False
1181,1.385599638695301e+18,2021-04-23 14:21:11+00:00,['1385599638695301121'],https://t.co/lJ1QDhPODM,,,True,False
