,username,name,id,description,created_at,tweet_count,public_metrics
192,IEXiiGE,exiige,290054981,,2011-04-29T17:26:07.000Z,,"{'followers_count': 201, 'following_count': 626, 'tweet_count': 6787, 'listed_count': 1}"
193,tanviamata,vikash tandon,139435122,A luta comtinua,2010-05-02T16:08:40.000Z,,"{'followers_count': 10, 'following_count': 1342, 'tweet_count': 779, 'listed_count': 0}"
194,AbbieKyle5,Abbie Kyle,1499037589004767234,Addenbrookes A&E . 31,2022-03-02T15:03:31.000Z,,"{'followers_count': 33, 'following_count': 181, 'tweet_count': 36, 'listed_count': 0}"
195,abiwxffindin,abs🧚🏻‍♀️,535552720,23 y/o who spends 99% of her time napping and crying,2012-03-24T17:40:50.000Z,,"{'followers_count': 599, 'following_count': 472, 'tweet_count': 13308, 'listed_count': 0}"
196,ssophieurwinx,Soph X,860163833343741952,Twenny2,2017-05-04T16:06:53.000Z,,"{'followers_count': 736, 'following_count': 373, 'tweet_count': 3756, 'listed_count': 0}"
197,mel96_w,Mel,495329055,~ she/her ~ working in politics ~ all views are my own ~,2012-02-17T21:06:19.000Z,,"{'followers_count': 209, 'following_count': 276, 'tweet_count': 535, 'listed_count': 0}"
198,sjl20033,itstheAGCx,1499754986619686920,socialist,2022-03-04T14:34:20.000Z,,"{'followers_count': 283, 'following_count': 431, 'tweet_count': 1325, 'listed_count': 0}"
199,_M3duz4_,M3duz4,2786030046,,2014-09-02T14:14:24.000Z,,"{'followers_count': 13, 'following_count': 96, 'tweet_count': 220, 'listed_count': 0}"
200,KatWilliams123,Kat Williams,438620820,#ActuallyAutistic #ADHD | ESRC funded PhD student (social policy) Cardiff Uni | Voluntary non-exec Director @AutisticUK | She/Her,2011-12-16T20:23:18.000Z,,"{'followers_count': 2211, 'following_count': 2424, 'tweet_count': 11359, 'listed_count': 19}"
201,jennietutu,Jennifer Priest,44366426,"mum of 3, NHS GGC and Glasgow clan fan",2009-06-03T14:15:09.000Z,,"{'followers_count': 74, 'following_count': 377, 'tweet_count': 836, 'listed_count': 3}"
202,thoufeeq7,Thoufeeq muhammed,207936406,"RN,AIIMS New Delhi. MOH&FW.India",2010-10-26T10:05:01.000Z,,"{'followers_count': 141, 'following_count': 405, 'tweet_count': 584, 'listed_count': 1}"
203,ray_in_wilts,Ray Tarling,872358644641386496,"Your representative owes you, not his industry only, but his judgment; and he betrays instead of serving you if he sacrifices it to your opinion.
Edmund Burke",2017-06-07T07:44:43.000Z,,"{'followers_count': 1634, 'following_count': 3056, 'tweet_count': 27563, 'listed_count': 4}"
204,lizhuddlestone,Liz Huddlestone,702612004784246784,Anaesthetic Consultant. Interest in perioperative medicine. Mum of 3.,2016-02-24T21:52:10.000Z,,"{'followers_count': 267, 'following_count': 679, 'tweet_count': 646, 'listed_count': 5}"
