id,created_at,edit_history_tweet_ids,text,withheld,clean_text
1.477492371143209e+18,2022-01-02 04:10:06+00:00,['1477492371143208961'],catching a break https://t.co/jmFL1roAhx,,catching break
1.4767540996893778e+18,2021-12-31 03:16:28+00:00,['1476754099689377801'],@_youngju8 psshh mine too 🤦🏾‍♂️,,psshh mine
1.4767014422202163e+18,2021-12-30 23:47:14+00:00,['1476701442220216321'],"@sexxydecoy go off and carry on, happy birthday!",,carry happy birthday
1.4762974740170097e+18,2021-12-29 21:02:00+00:00,['1476297474017009669'],@LoDunnit i was one of the kids that missed the ctc bus 😅,,one kid missed ctc bus
1.476264261160784e+18,2021-12-29 18:50:02+00:00,['1476264261160783877'],@LoDunnit ooo what cereal tho?,,ooo cereal tho
1.4753220478783406e+18,2021-12-27 04:26:01+00:00,['1475322047878340611'],issa’s wardrobe is the real winner throughout all of this #InsecureSeriesFinale,,issas wardrobe real winner throughout
1.4752389656283505e+18,2021-12-26 22:55:52+00:00,['1475238965628350466'],@MouseSucks cookies slap tho 😂,,cooky slap tho
1.4745809797675213e+18,2021-12-25 03:21:16+00:00,['1474580979767521282'],@_youngju8 yooo y’all did that!,,yooo yall
1.4742639407042191e+18,2021-12-24 06:21:28+00:00,['1474263940704219139'],@so14below i dream of her doing a whole project in the sonics of that demo,,dream whole project sonics demo
1.47330804881911e+18,2021-12-21 15:03:06+00:00,['1473308048819109897'],@Mankaprr my mistake 😅 y’all great too,,mistake yall great
1.473303345377026e+18,2021-12-21 14:44:24+00:00,['1473303345377026048'],"@Mankaprr kicking off 🐐 szn, happy happy birthday!",,kicking szn happy happy birthday
1.4723913559598572e+18,2021-12-19 02:20:29+00:00,['1472391355959857152'],@Mankaprr wait is this an actual bar?,,wait actual bar
1.4719068718459986e+18,2021-12-17 18:15:19+00:00,['1471906871845998593'],@timmhotep asking myself the same exact questions 😵‍💫,,asking exact question
1.4716913171723878e+18,2021-12-17 03:58:47+00:00,['1471691317172387842'],@FromAerin hair looks amazing,,hair look amazing
1.4679675358742487e+18,2021-12-06 21:21:48+00:00,['1467967535874248704'],"as a cap, it be meetings for me https://t.co/z80m4ZEe7c",,cap meeting
1.46693593236446e+18,2021-12-04 01:02:35+00:00,['1466935932364460041'],@Copastetik a goal of goals 🚀,,goal goal
1.4666294356380426e+18,2021-12-03 04:44:40+00:00,['1466629435638042627'],@LoDunnit you been on a roll today,,roll today
1.4665043162739712e+18,2021-12-02 20:27:29+00:00,['1466504316273971203'],@LifeWithJRDN you were awesome on there!,,awesome
1.4632614418767053e+18,2021-11-23 21:41:28+00:00,['1463261441876705288'],this is masterful animation physics https://t.co/PVmW0U3e2T,,masterful animation physic
1.463123354358063e+18,2021-11-23 12:32:45+00:00,['1463123354358063106'],@LoDunnit i cannot unsee it 😵‍💫,,cannot unsee
1.4628839356591186e+18,2021-11-22 20:41:23+00:00,['1462883935659118598'],@heykelechi i feel people often skip the first step of having a process to even respect,,feel people often skip first step process even respect
1.4626662411481784e+18,2021-11-22 06:16:21+00:00,['1462666241148178437'],damn ppl still doing that? 🥴 https://t.co/D7L4ZFJH9X,,damn ppl still
1.4622678675928596e+18,2021-11-21 03:53:21+00:00,['1462267867592859651'],@J9SimonNYC shine sis 🧡,,shine
1.4606923479525007e+18,2021-11-16 19:32:48+00:00,['1460692347952500747'],"the distance
giving me life
stay long love you https://t.co/PCO4GYVBI9",,distance giving life stay long love
1.4602852930393948e+18,2021-11-15 16:35:19+00:00,['1460285293039394819'],they don’t make ‘em like this no more https://t.co/3WWuoRGoKi,,dont make like
1.45819736909543e+18,2021-11-09 22:18:39+00:00,['1458197369095430144'],@Dolnenzo i went to j&amp;r music world to cop this album 😂,,went jampr music world cop album
1.4581461014297723e+18,2021-11-09 18:54:56+00:00,['1458146101429772295'],"@ImVictoriaRyan blessings on fully living in that space, i’m sure it’s an amazing place to be 💫",,blessing fully living space sure amazing place
1.4575191404287836e+18,2021-11-08 01:23:37+00:00,['1457519140428783616'],@MouseSucks best double entendre i heard all year,,best double entendre heard year
