id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.2449449989629952e+18,2020-03-31 11:09:52+00:00,['1244944998962995201'],"How are you all doing??? Are you in your 2nd week of Quarantine life of Self Isolation.
-
-

Here's my My first week of Quarantine self Isolation life video. 

-
-

I would like to say… https://t.co/mWnDj0ZNN3",,week quarantine life self isolation here's first week quarantine self isolation life video would like say,week life self isolation week quarantine self isolation life video 
1.244893371933565e+18,2020-03-31 07:44:43+00:00,['1244893371933564928'],"Verse of the day
The tongue has the power of life and death, and those who love it will eat its fruit.Proverbs 18:21 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #Proverbs1821 #NIV… https://t.co/AFus09kOND",,verse day tongue power life death love eat fruit proverb niv,day tongue power life death love eat fruit proverb niv 
1.244528619843707e+18,2020-03-30 07:35:19+00:00,['1244528619843706880'],"Verse of the day
Praise be to the Lord, to God our Savior, who daily bears our burdens.
Psalms 68:19 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #psalms6819 #NIV #2020 #2020vision… https://t.co/gxDyDm7g9F",,verse day praise lord god savior daily bear burden psalm niv,day lord god bear burden psalm niv 
1.2443312612017152e+18,2020-03-29 18:31:05+00:00,['1244331261201715211'],Great to connect this evening with Werbs at home #Werbsathome #Stayathome #protecttheNHS #Savelives #corona #coronalife #church #churchlife #love #communitylove #community #quarentine… https://t.co/SuR2G1QF99,,great connect evening werbs home,werbs home 
1.2441721783979868e+18,2020-03-29 07:58:57+00:00,['1244172178397986817'],"Verse of the day
For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.John 3:16 NIV✝️📖🙏😃
#Verseoftheday… https://t.co/2OfcKSUT1Z",,verse day god loved world gave one son whoever belief shall perish eternal life john niv,day world son life john niv 
1.2438167678452165e+18,2020-03-28 08:26:41+00:00,['1243816767845216257'],"Verse of the day
“I am the good shepherd. The good shepherd lays down his life for the sheep.
John 10:11 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #John1011 #NIV #2020 #2020vision… https://t.co/YI6clGf8ye",,verse day good shepherd good shepherd lay life sheep john niv,day shepherd shepherd life sheep john niv 
1.2436635248044485e+18,2020-03-27 22:17:45+00:00,['1243663524804448256'],Last night my community did a Bible study on Job 1 and 2 on Zoom such a great group feeling blessed #blessed #doinglifetogether #lifetogether #Stayathome #protecttheNHS #savelives #corona… https://t.co/HRbySTHNSg,,last night community bible study job zoom great group feeling blessed,night community study job group feeling 
1.2436529034552934e+18,2020-03-27 21:35:32+00:00,['1243652903455293440'],"Until tomorrow....
#untiltomorrow #2020 #2020vision #bestisyettocome #Godisgood #GoodnessofGod #MingCooper2020 https://t.co/BGMdNjsfuU",,tomorrow,tomorrow 
1.2430854224749527e+18,2020-03-26 08:00:34+00:00,['1243085422474952705'],"Verse of the dayBlessed are the peacemakers,  for they will be called children of God.Matthew 5:9 NIV
✝️📖🙏😃#Verseoftheday #Verseencouragement #Matthew59 #NIV #2020 #2020vision… https://t.co/g0plKIg0wd",,verse dayblessed peacemaker called child god matthew niv,verse peacemaker child god matthew niv 
1.2428124721401037e+18,2020-03-25 13:55:58+00:00,['1242812472140103683'],"Verse of the day
When anxiety was great within me, your consolation brought me joy.
Psalms 94:19 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #Pslams9419 #NIV #2020 #2020vision… https://t.co/1yHeAlqY2U",,verse day anxiety great within consolation brought joy psalm niv,day anxiety consolation joy psalm niv 
