id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.1043825535685386e+18,2019-03-09 14:04:53+00:00,['1104382553568538624'],Arpilleras bordando por la memoria de chile in London. Dia Internacional de la mujer trabajadora #Arpilleras #VivalamujerUK #womenshistorymonth #Chile #London #ArpillerasUK… https://t.co/8IZ3mpcnh9,arpilleras bordando por memoria chile london dia internacional mujer trabajadora,mujer trabajadora 
1.1043474993162854e+18,2019-03-09 11:45:36+00:00,['1104347499316285443'],Así se vive en Londres la crisis del Brexit https://t.co/D6ZiyFGIzt,vive londres crisis del brexit,crisis del brexit 
1.1043421368399136e+18,2019-03-09 11:24:17+00:00,['1104342136839913472'],Patricia Pons from Chile @ Dia Internacional de la mujer trabajadora #Arpilleras #VivalamujerUK #womenshistorymonth #Chile #London #ArpillerasUK #exiliados #Londres @ Praxis Community… https://t.co/S0RSoWRAXI,patricia pons chile dia internacional mujer trabajadora praxis community,patricia mujer trabajadora praxis community 
1.1043384350940774e+18,2019-03-09 11:09:35+00:00,['1104338435094077440'],Amigo Artista with the only chinchinero in London John Cuevas paying a musical tribute to all women @ Dia Internacional de la mujer trabajadora #Arpilleras #VivalamujerUK… https://t.co/REnEH0elpT,amigo artista chinchinero london john cuevas paying musical tribute woman dia internacional mujer trabajadora,amigo artista chinchinero london john cuevas tribute woman mujer trabajadora 
1.1043367583705212e+18,2019-03-09 11:02:55+00:00,['1104336758370521089'],"The only chinchinero in London. John Cuevas 'Amigo Artista'
Paying a musical tribute at Dia Internacional de la mujer trabajadora in London. #Arpilleras #VivalamujerUK #womenshistorymonth… https://t.co/KGMGb4JibM",chinchinero london john cuevas 'amigo artista' paying musical tribute dia internacional mujer trabajadora london,chinchinero london john cuevas artista tribute dia mujer 
1.104335703511466e+18,2019-03-09 10:58:43+00:00,['1104335703511465989'],Arpilleras bordando por la memoria de chile in London. Dia Internacional de la mujer trabajadora #Arpilleras #VivalamujerUK #womenshistorymonth #Chile #London #ArpillerasUK #victorjara… https://t.co/uWHUVudve2,arpilleras bordando por memoria chile london dia internacional mujer trabajadora,mujer trabajadora 
1.1043333925674272e+18,2019-03-09 10:49:32+00:00,['1104333392567427072'],Love this unique exhibition by Arpilleras bordando por la memoria de chile in London. Dia Internacional de la mujer trabajadora #Arpilleras #VivalamujerUK #womenshistorymonth #Chile… https://t.co/V9AYV7GHo3,love unique exhibition arpilleras bordando por memoria chile london dia internacional mujer trabajadora,love unique exhibition bordando por mujer trabajadora 
1.1043262531910084e+18,2019-03-09 10:21:10+00:00,['1104326253191008257'],It’s fun celebrating women — but what we really want is power https://t.co/I6jvAb13mr,fun celebrating woman really want power,fun woman power 
1.104295133019861e+18,2019-03-09 08:17:31+00:00,['1104295133019860992'],Maduro CDTM..... toma ejemplo! https://t.co/cVO0E0viAU,maduro cdtm toma ejemplo,maduro cdtm toma ejemplo 
1.104287170192425e+18,2019-03-09 07:45:52+00:00,['1104287170192424960'],Power cuts sweep Venezuela for a second day | #TheCube https://t.co/0nMIuzKZ9b,power cut sweep venezuela second day,power cut day 
