id,created_at,edit_history_tweet_ids,text,clean_text
1.4687167198417265e+18,2021-12-08 22:58:48+00:00,['1468716719841726469'],📢 Calling budding songwriters! Don't miss our 2nd songwriting workshops for 14 - 26 yr olds with @foxxgloveuk on Saturday 2pm - 4pm focusing on writing lyrics. Get top tips &amp; try out ideas. https://t.co/WYvKXkHxLE https://t.co/mhMeRDSY7y,calling budding songwriter miss songwriting workshop old saturday focusing writing lyric get top tip amp try idea
1.4670885330558034e+18,2021-12-04 11:08:58+00:00,['1467088533055803393'],Starts today 👇🏻still time to register @WeAreSparc @MessUpTheMess @wearefio @recrockwales @TinShedTheatre @BeaconsCymru @CMW_CGC @GX_Wales https://t.co/LqG7ai50qg,start today still time register
1.467087846242759e+18,2021-12-04 11:06:14+00:00,['1467087846242758660'],Really exciting news from @Arts_Wales_ 👏🏻👏🏻👏🏻 https://t.co/2SRmLv1h0Z,really exciting news
1.4670716972327483e+18,2021-12-04 10:02:04+00:00,['1467071697232748545'],@AllianceCymru General Meeting on Monday 6th December 👇🏻 https://t.co/oknWXNBVeA,general meeting monday december
1.4668224034646016e+18,2021-12-03 17:31:27+00:00,['1466822403464601603'],"Starting TOMORROW our Songwriting workshops for 14 - 25s with @foxxgloveuk 
Tomorrow s workshop will be focused on lyrics and storytelling. FREE to attend!! https://t.co/WYvKXkHxLE 

#workshop #free https://t.co/5VnNH4wkhS",starting tomorrow songwriting workshop tomorrow workshop focused lyric storytelling free attend
1.466711306799444e+18,2021-12-03 10:10:00+00:00,['1466711306799443971'],"Archebwch nawr ar gyfer ein gweithdai #OSSongCreators ar gyfer 14 - 25au gyda @foxxgloveuk Sesiynau cyntaf yn dod i fyny cyn y Nadolig ar ddydd Sadwrn 4ydd a dydd Sadwrn 11eg Rhagfyr 2pm - 4pm yn edrych ar geiriau ac straeon. AM DDIM!!
https://t.co/WYvKXkZ8Dc https://t.co/VNLIuWs6gQ",archebwch nawr gyfer ein gweithdai gyfer gyda sesiynau cyntaf dod fyny cyn nadolig ddydd sadwrn ydd dydd sadwrn rhagfyr edrych geiriau straeon ddim
1.4667087947259126e+18,2021-12-03 10:00:01+00:00,['1466708794725912579'],"Book now for our #OSSongCreators workshops for 14 - 25s with @foxxgloveuk First sessions coming up before Xmas on Sat 4th &amp; Sat 11th December 2pm - 4pm looking at lyrics and storytelling. FREE to attend!!  
https://t.co/WYvKXkZ8Dc #songwriting https://t.co/DsJqc3CLPq",book workshop first session coming xmas sat amp sat december looking lyric storytelling free attend
1.4664676710761882e+18,2021-12-02 18:01:53+00:00,['1466467671076188170'],Want to learn how to write POP FOLK INDIE music? Join our workshops for free! https://t.co/qrly4fry5N,want learn write pop folk indie music join workshop free
1.466108585193136e+18,2021-12-01 18:15:00+00:00,['1466108585193136133'],"Archebwch nawr ar gyfer ein gweithdai #OSSongCreators ar gyfer 14 - 25au gyda @foxxgloveuk Sesiynau cyntaf yn dod i fyny cyn y Nadolig ar ddydd Sadwrn 4ydd a dydd Sadwrn 11eg Rhagfyr 2pm - 4pm yn edrych ar geiriau ac straeon. AM DDIM!!
https://t.co/WYvKXkHxLE https://t.co/psgVWJde5d",archebwch nawr gyfer ein gweithdai gyfer gyda sesiynau cyntaf dod fyny cyn nadolig ddydd sadwrn ydd dydd sadwrn rhagfyr edrych geiriau straeon ddim
1.4661048207884616e+18,2021-12-01 18:00:02+00:00,['1466104820788461568'],"Book now for our #OSSongCreators workshops for 14 - 25s with @foxxgloveuk First sessions coming up before Xmas on Sat 4th &amp; Sat 11th December 2pm - 4pm looking at lyrics and storytelling. FREE to attend!!  
https://t.co/WYvKXkZ8Dc #songwriting https://t.co/ge3lXYZfdI",book workshop first session coming xmas sat amp sat december looking lyric storytelling free attend
1.465411141862146e+18,2021-11-29 20:03:36+00:00,['1465411141862146054'],Hey #PortHour please help us spread the word about our #OSSongCreators workshops 👇🏻👍🏻🎶 https://t.co/qrly4fry5N,hey please help spread word workshop
1.4654104571797627e+18,2021-11-29 20:00:53+00:00,['1465410457179762697'],Please help spread the word @arabyartist @selenaitc @MarvinPoet @TdhMrs @eadythofficial @maditronique @TyCerdd_org @heretic101 @jondafyddkidd @GPNxtGen @YouthNewport @TinyRebelNpt @1gaer1 @CYP_newport @winchizzzle https://t.co/qrly4fry5N,please help spread word
1.4653654267334697e+18,2021-11-29 17:01:57+00:00,['1465365426733469698'],"Want to try songwriting? Our online #OSSongCreators workshops with the awesome @foxxgloveuk starts on 4th December https://t.co/nXWbvQuGui 

#workshops #newport #free https://t.co/ofcFAQeIr3",want try songwriting online workshop awesome start december
1.4652592470845972e+18,2021-11-29 10:00:02+00:00,['1465259247084597250'],"Archebwch nawr ar gyfer ein gweithdai #OSSongCreators ar gyfer 14 - 25au gyda @foxxgloveuk Sesiynau cyntaf yn dod i fyny cyn y Nadolig ar ddydd Sadwrn 4ydd a dydd Sadwrn 11eg Rhagfyr 2pm - 4pm yn edrych ar geiriau ac straeon. AM DDIM!!
https://t.co/WYvKXkZ8Dc https://t.co/EQHf2meK8B",archebwch nawr gyfer ein gweithdai gyfer gyda sesiynau cyntaf dod fyny cyn nadolig ddydd sadwrn ydd dydd sadwrn rhagfyr edrych geiriau straeon ddim
1.4652444129555743e+18,2021-11-29 09:01:05+00:00,['1465244412955574275'],Book now for our #OSSongCreators workshops for 14 - 25s with @foxxgloveuk First sessions coming up before Xmas on Sat 4th &amp; Sat 11th December 2pm - 4pm looking at lyrics and storytelling. FREE to attend!! https://t.co/WYvKXkHxLE https://t.co/3JNAJUwcFc,book workshop first session coming xmas sat amp sat december looking lyric storytelling free attend
1.46524181275972e+18,2021-11-29 08:50:45+00:00,['1465241812759719941'],This looks exciting @RubiconDance @RiverfrontArts 👇🏻 https://t.co/Df0hpwpplb,look exciting
1.4650617437685268e+18,2021-11-28 20:55:13+00:00,['1465061743768526854'],One of the things I like best about @AOTH_NP20 is the chance to meet the artists &amp; chat to them about their work. Amazing to meet Greta Hart @shadey_tree &amp; @RonMcCormick17 #carrots @CwtshArtsCentre @FfotoNewport #artsnewydd https://t.co/Yjac8yuOhA,one thing like best chance meet artist amp chat work amazing meet greta hart amp
1.4648916466848932e+18,2021-11-28 09:39:19+00:00,['1464891646684893193'],Beautiful work from Heidi Baines &amp; The Palindrome Painter at Unit 9 @friarswalk &amp; @diversevinyl @AOTH_NP20 Check them out today!! https://t.co/BsBpoADe8f,beautiful work heidi baines amp palindrome painter unit amp check today
1.464885587765248e+18,2021-11-28 09:15:15+00:00,['1464885587765248003'],@MarvinPoet huge congratulations on your new role @LitWales SO well deserved!!! You rock! https://t.co/rvwgd70vdD,huge congratulation new role well deserved rock
1.464884369210937e+18,2021-11-28 09:10:24+00:00,['1464884369210937346'],@selenaitc 🤣,
1.464545472933204e+18,2021-11-27 10:43:45+00:00,['1464545472933203973'],Thank you so much for coming @urbancircle we loved having you!!! ❤️ #NightmareScenario https://t.co/GuxOLQrYyV,thank much coming loved
1.4645444400019948e+18,2021-11-27 10:39:39+00:00,['1464544440001994758'],Check out the craft fair &amp; fascinating Red Shoes exhibition by @mirpolan @RiverfrontArts @AOTH_NP20  today #artsnewydd https://t.co/Fej78JANW0,check craft fair amp fascinating red shoe exhibition today
1.4645437326493737e+18,2021-11-27 10:36:50+00:00,['1464543732649373697'],Had a lovely chat with @FoNMAG1 &amp; Friends of @NpTbridge this morning @RiverfrontArts @AOTH_NP20  #artsnewydd https://t.co/ZaxFLv3mHt,lovely chat amp friend morning
