,Topic,Count,Name,details
43,42,331,42_donate_charity_fundraising_donation,"[('donate', 0.04476210643342602), ('charity', 0.03628453435034428), ('fundraising', 0.028093408165580532), ('donation', 0.024389145619787132), ('trustee', 0.018574700482128677), ('fundraiser', 0.013570954692117651), ('sponsor', 0.012657988959235518), ('raise', 0.012600435388463541), ('fund', 0.012027863945582437), ('sponsorship', 0.010229201926776272)]"
44,43,331,43_morning_good_sian_sir,"[('morning', 0.13048818406485196), ('good', 0.06629339654542103), ('sian', 0.012858283576153153), ('sir', 0.011067040062304632), ('mnster', 0.008535071822319003), ('dear', 0.007889282183308711), ('dev', 0.007124230333856649), ('lass', 0.006224945403735578), ('yall', 0.0036030186828624345), ('hey', 0.002685883579657856)]"
45,44,331,44_doo_argh_eek_whew,"[('doo', 0.08921733046663198), ('argh', 0.0853746163243943), ('eek', 0.07819556305103932), ('whew', 0.056230474277866246), ('wth', 0.04827408464660586), ('meeeee', 0.046032045325398216), ('ohmygosh', 0.04317778279767136), ('thnx', 0.040158881828198906), ('ack', 0.03777997676574467), ('eheeeeeee', 0.03777997676574467)]"
46,45,331,45_cat_kitty_kitten_feline,"[('cat', 0.13124687166931578), ('kitty', 0.017475818390234064), ('kitten', 0.015985462643621835), ('feline', 0.012186490241640684), ('dead', 0.01040667636528453), ('rescue', 0.009023409323264717), ('simba', 0.007799388627624371), ('tailed', 0.006623853870330561), ('stray', 0.006172755201754073), ('loki', 0.006052998857274326)]"
47,46,324,46_gps_copperfield_breaking_referral,"[('gps', 0.09609159695467952), ('copperfield', 0.014577089261601176), ('breaking', 0.01342037810732005), ('referral', 0.011245722360862128), ('exclusive', 0.01048074099336283), ('salaried', 0.007760400089085889), ('lmcs', 0.007526766336858643), ('guidance', 0.006557924231262694), ('england', 0.0065061943643401725), ('locum', 0.006073082038626325)]"
48,47,321,47_done_well_fyi_nicely,"[('done', 0.12670039113046244), ('well', 0.0790875569807982), ('fyi', 0.06446586465762381), ('nicely', 0.01062050729382547), ('noted', 0.006142084327677882), ('played', 0.00326666969417753), ('ooh', 0.0027750173629061186), ('goodness', 0.002729606948013753), ('thankyou', 0.002290058630420846), ('dear', 0.002132571590175636)]"
49,48,315,48_praying_prayer_pray_billy,"[('praying', 0.15616138627374843), ('prayer', 0.11699422384763583), ('pray', 0.04363744226673085), ('billy', 0.03271785522151093), ('hero', 0.019890362232186636), ('landon', 0.01964542851094416), ('sweet', 0.012117888270425328), ('speedy', 0.009213082570715526), ('healing', 0.0091533219202015), ('blue', 0.008703637034791703)]"
50,49,313,49_signing_delighted_fan_derby,"[('signing', 0.20961040329205474), ('delighted', 0.14130275766443992), ('fan', 0.13525403792699828), ('derby', 0.07135122075137534), ('celtic', 0.03942446997043171), ('tottenham', 0.03838027059819327), ('newcastle', 0.026188378390687817), ('chelsea', 0.026012080821819883), ('blackburn', 0.02589557173110907), ('burnley', 0.019239762468774145)]"
51,50,306,50_propaganda_democracy_republican_politician,"[('propaganda', 0.036090048690294085), ('democracy', 0.02695841387455369), ('republican', 0.017390467941726308), ('politician', 0.01689577578998357), ('politics', 0.016376842785720172), ('trump', 0.014060759912467734), ('machine', 0.012973170421414004), ('gqp', 0.012747330226589974), ('government', 0.01204473839551003), ('dictatorship', 0.011137302873844485)]"
52,51,305,51_hair_hairdresser_haircut_salon,"[('hair', 0.12167396295526277), ('hairdresser', 0.04042901181603526), ('haircut', 0.029255329911214555), ('salon', 0.02211855114034398), ('curly', 0.014803117420510232), ('wig', 0.013495194468055695), ('shampoo', 0.011732488249384698), ('blonde', 0.01063932059287878), ('colour', 0.009834835773311337), ('hairstyle', 0.009473013339491099)]"
53,52,301,52_homeless_housing_homelessness_shelter,"[('homeless', 0.0519251210139089), ('housing', 0.04673830446635088), ('homelessness', 0.04056563268232708), ('shelter', 0.03185753153304775), ('toronto', 0.028562837619648514), ('encampment', 0.022929362069497628), ('eviction', 0.02097443872713947), ('city', 0.01895153335768602), ('sherbourne', 0.014398777941888851), ('mayor', 0.012534862277722382)]"
54,53,300,53_shift_night_pre_hour,"[('shift', 0.07667641695009274), ('night', 0.02702316212765298), ('pre', 0.02611421150247317), ('hour', 0.00881049098818603), ('row', 0.006841047033383803), ('shifty', 0.006509067171583334), ('sleep', 0.006306450861514485), ('tired', 0.006177765965397752), ('sleepins', 0.004873225448774312), ('oncall', 0.00456082602397278)]"
55,54,292,54_mental_personality_disorder_health,"[('mental', 0.03225301137186526), ('personality', 0.01098077399940811), ('disorder', 0.009341573403666318), ('health', 0.008586628036557829), ('hub', 0.008268849341982661), ('psychiatry', 0.006897092694883107), ('borderline', 0.006793146851102684), ('psychology', 0.0067121400137962845), ('confidential', 0.005841655708480007), ('wellbeing', 0.0058331389894966685)]"
56,55,291,55_laiic_sant_infirmiers_infirmires,"[('laiic', 0.040974944512594244), ('sant', 0.03717846551682783), ('infirmiers', 0.03516069601182266), ('infirmires', 0.03509203509904314), ('pour', 0.0327580760055508), ('sur', 0.028710535459230236), ('soins', 0.022526542467398554), ('membres', 0.02154614468123456), ('voix', 0.021448160723515273), ('nous', 0.020601149302347285)]"
