,Topic,Count,Name,details
31,30,251,30_brilliant brilliant_brilliant brilliant brilliant_brilliant_brilliant well,"[('brilliant brilliant', 0.3439345107740131), ('brilliant brilliant brilliant', 0.32102721498581815), ('brilliant', 0.26883895133429403), ('brilliant well', 0.050025810190144494), ('well brilliant', 0.04836837423104003), ('amazing fan see', 0.04836837423104003), ('brilliant well brilliant', 0.04836837423104003), ('fan see', 0.04731707050761927), ('amazing fan', 0.04731707050761927), ('fan see amazing', 0.04457887037588996)]"
32,31,250,31_day day_day thing_day thing day_day treat,"[('day day', 0.02170496729177805), ('day thing', 0.011978874910225755), ('day thing day', 0.010804577589566175), ('day treat', 0.010462698377840104), ('day', 0.0104493555112427), ('get day', 0.010085528952969354), ('thing day', 0.010038916190521548), ('day line', 0.009906415639086659), ('get day day', 0.009364554134044436), ('day life', 0.00929395155327593)]"
33,32,246,32_eye_eye eye_eye eye eye_look eye,"[('eye', 0.06674936300155838), ('eye eye', 0.035808893694179264), ('eye eye eye', 0.012597709455634255), ('look eye', 0.009206170042976584), ('eye leak', 0.009206170042976584), ('face eye', 0.008367370378614137), ('time eye', 0.008102609450614218), ('ophthalmology', 0.008102609450614218), ('blink', 0.00749156731852907), ('see eye', 0.007252175498818196)]"
34,33,242,33_month_month month_time month_year month,"[('month', 0.02583907009174871), ('month month', 0.021931880213926638), ('time month', 0.010210442933701156), ('year month', 0.010210442933701156), ('end month', 0.009350580553454646), ('month work', 0.009103568372906191), ('day month', 0.006442400541570922), ('change month', 0.006046015437823536), ('month thank', 0.006022540645219263), ('month time', 0.00600556477540673)]"
35,34,236,34_tea_cup tea_cup_tea tea,"[('tea', 0.07675598771676397), ('cup tea', 0.028780760665672204), ('cup', 0.016810101593850726), ('tea tea', 0.0161470890435948), ('yorkshire tea', 0.01436553415476412), ('tea party', 0.010204336825419845), ('tea coffee', 0.010204336825419845), ('tea time', 0.009992218731958356), ('teapot', 0.009992218731958356), ('afternoon tea', 0.009740605563401108)]"
36,35,225,35_putin_russia_ukraine_vladimir,"[('putin', 0.05001820534152127), ('russia', 0.04416501109942836), ('ukraine', 0.022578337082169435), ('vladimir', 0.013286712510394885), ('war', 0.012540199397691826), ('vladimir putin', 0.012502131534387477), ('invasion', 0.010829257656955773), ('world news sky', 0.010418442945322898), ('world news', 0.009867441508743507), ('news sky news', 0.008840297526799502)]"
37,36,215,36_garden_garden garden_garden centre_gardening,"[('garden', 0.06326474596554077), ('garden garden', 0.03479759930711013), ('garden centre', 0.014089185945356809), ('gardening', 0.012924746013576878), ('garden garden garden', 0.012233850233281647), ('gardener', 0.011545723873309132), ('today garden', 0.011311258816810483), ('photo garden', 0.010828803099856682), ('family garden', 0.00936217356893919), ('wow garden', 0.00936217356893919)]"
38,37,215,37_wordle_wordle wordle_wordle wordle wordle_wordle play wordle,"[('wordle', 0.39970744452573936), ('wordle wordle', 0.3865806068929339), ('wordle wordle wordle', 0.36487376019152545), ('wordle play wordle', 0.026936651852753297), ('play wordle', 0.026936651852753297), ('wordle play', 0.026936651852753297), ('try wordle', 0.026936651852753297), ('try wordle wordle', 0.026936651852753297), ('wordle try wordle', 0.021308072159484045), ('play wordle wordle', 0.021308072159484045)]"
39,38,210,38_lol lol lol_lol lol_lol_lol lol right,"[('lol lol lol', 0.47891160087412743), ('lol lol', 0.4720465781897873), ('lol', 0.18423576281486687), ('lol lol right', 0.01845145795817094), ('lol right lol', 0.01845145795817094), ('lol right', 0.01845145795817094), ('right lol', 0.01630045053706333), ('lol nice', 0.010303310903744175), ('ole lol', 0.010303310903744175), ('nice lol lol', 0.010303310903744175)]"
40,39,207,39_thing thing thing_thing thing_thing_thing anew thing,"[('thing thing thing', 0.4156551606919555), ('thing thing', 0.39348425585008184), ('thing', 0.06053013546600272), ('thing anew thing', 0.009799593481783348), ('thing illegal', 0.009799593481783348), ('thing theyre thing', 0.009799593481783348), ('theyre thing thing', 0.009799593481783348), ('thing see point', 0.009799593481783348), ('thing ooo thing', 0.009799593481783348), ('thing ooo', 0.009799593481783348)]"
