,id,id_str,name,screen_name,description,years_online,statuses_count,tweets_per_year,location,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,live_following,follow_request_sent,notifications,muting,blocking,blocked_by,translator_type,withheld_in_countries,profile_banner_url,year_created
695,4018495281.0,4018495281,Ian Ramsey,IanRamsey12,"Primary school teacher, Newcastle upon Tyne. All views are my own. Retweeting is not an endorsement.",7,933.0,133.28571428571428,"Newcastle Upon Tyne, England",,{'description': {'urls': []}},False,129.0,211.0,1.0,Thu Oct 22 18:01:21 +0000 2015,1285.0,,,False,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/657895022117986304/QzR8T0fZ_normal.jpg,https://pbs.twimg.com/profile_images/657895022117986304/QzR8T0fZ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/4018495281/1644844867,2015
713,8.971151385909002e+17,897115138590900226,Jackie Cleary,JackieCleary16,Acting Headteacher,5,173.0,34.6,"Liverpool, England",,{'description': {'urls': []}},True,24.0,344.0,0.0,Mon Aug 14 15:18:11 +0000 2017,1026.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1015488171138781184/4cmtjWDG_normal.jpg,https://pbs.twimg.com/profile_images/1015488171138781184/4cmtjWDG_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],,2017
716,53725919.0,53725919,Debby,debbyberry_,Assistant Principal @hcacp part of @harrisfedsta #BAMed #mathsteacher #womened #diverseleaders,13,189.0,14.538461538461538,"England, United Kingdom",,{'description': {'urls': []}},True,168.0,162.0,1.0,Sat Jul 04 18:11:27 +0000 2009,333.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/854418154658942978/29hA218y_normal.jpg,https://pbs.twimg.com/profile_images/854418154658942978/29hA218y_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/53725919/1486480234,2009
721,36333121.0,36333121,Victoria Wilson,vicster28,science teacher in a secondary school. mummy of one beautiful girl.,13,2311.0,177.76923076923077,"ÜT: 54.514023,-6.055112",,{'description': {'urls': []}},True,365.0,920.0,1.0,Wed Apr 29 11:03:09 +0000 2009,616.0,,,False,False,,False,False,False,EB6F98,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,True,http://pbs.twimg.com/profile_images/548607243584028672/xZirW5ws_normal.jpeg,https://pbs.twimg.com/profile_images/548607243584028672/xZirW5ws_normal.jpeg,4A913C,E0148E,8746DB,0E21F0,False,True,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/36333121/1396345596,2009
742,42034342.0,42034342,Everything Geog,EverythingGeog,"Impossible Is Nothing :) All Things Geographical, Passionately Curious #teacher #geography #geek",13,2927.0,225.15384615384616,,,{'description': {'urls': []}},True,98.0,897.0,1.0,Sat May 23 14:29:26 +0000 2009,3863.0,,,True,False,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/823891628318396417/OSnFWseK_normal.jpg,https://pbs.twimg.com/profile_images/823891628318396417/OSnFWseK_normal.jpg,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/42034342/1414268741,2009
751,2504588942.0,2504588942,Anna Hassell,hassell_anna,"Passionate teacher of History. Lover of books & coffee. Trying to be kinder, live Vegan and slow down. Mummy to to 2 little women 👩‍👩‍👧‍👧 🙌 💕",8,988.0,123.5,Birmingham,,{'description': {'urls': []}},False,476.0,785.0,3.0,Sun May 18 14:15:21 +0000 2014,5960.0,,,False,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1485170714009391104/pKPJsbAX_normal.jpg,https://pbs.twimg.com/profile_images/1485170714009391104/pKPJsbAX_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/2504588942/1642927267,2014
753,1.0478785531598152e+18,1047878553159815168,Jade,JPM_1982,"Art teacher, Photography Teacher. Shortlisted for 'Outstanding Arts' at Educate Awards 2018 and 2019. NPQML 🇬🇾",4,1351.0,337.75,"Liverpool, England",,{'description': {'urls': []}},False,382.0,778.0,2.0,Thu Oct 04 15:58:10 +0000 2018,3478.0,,,True,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1568893327390408709/JE9p5NIn_normal.jpg,https://pbs.twimg.com/profile_images/1568893327390408709/JE9p5NIn_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1047878553159815168/1656695738,2018
782,40243433.0,40243433,Lisa Blanchard,lisabear1974,#Year4teacher #computinglead Castleford Park Junior. #LFC,13,2271.0,174.69230769230768,"Wakefield
",,{'description': {'urls': []}},False,238.0,550.0,1.0,Fri May 15 13:52:16 +0000 2009,1934.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1532114468989243392/tck3qGOt_normal.jpg,https://pbs.twimg.com/profile_images/1532114468989243392/tck3qGOt_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/40243433/1651612288,2009
785,440284048.0,440284048,Ellen Day,Ellenallenday,Head of Humanities. Alevel politics  teacher. PHSE/RSE coordinator. Associate Assistant principal.,11,525.0,47.72727272727273,,,{'description': {'urls': []}},False,224.0,1433.0,6.0,Sun Dec 18 20:05:38 +0000 2011,92.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2225664040/UBGU6yHH_normal,https://pbs.twimg.com/profile_images/2225664040/UBGU6yHH_normal,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],,2011
826,2623889741.0,2623889741,Ruth Bober 🇪🇺,Sabretooth_Ruth,"European citizen, MFL teacher, mental health ambassador, MEd in SEN and Inclusion, former designated teacher for CLA",8,1078.0,134.75,Cumbria,,{'description': {'urls': []}},False,90.0,165.0,7.0,Thu Jun 19 21:02:44 +0000 2014,433.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/479732015575863296/7lMMwX-l_normal.jpeg,https://pbs.twimg.com/profile_images/479732015575863296/7lMMwX-l_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/2623889741/1403211997,2014
