,Topic,Count,Name,details
29,28,452,28_congratulation_sameee_congratulationspapa_everbody,"[('congratulation', 0.40346960629597656), ('sameee', 0.014499659890986527), ('congratulationspapa', 0.014499659890986527), ('everbody', 0.014499659890986527), ('rhinnon', 0.014499659890986527), ('elly', 0.01224730159080095), ('roz', 0.01165833593501474), ('downunder', 0.010001945427211134), ('rick', 0.009593385740575363), ('hala', 0.008709958632258373)]"
30,29,443,29_love_loving_gatwa_ncuti,"[('love', 0.1870847539794982), ('loving', 0.026125492528360408), ('gatwa', 0.013268842607763773), ('ncuti', 0.013268842607763773), ('loveliness', 0.010391413139528415), ('tote', 0.010147807131357963), ('bounty', 0.00973328928262542), ('wording', 0.009236176189421068), ('bucket', 0.006996299172529506), ('defo', 0.006493337672743743)]"
31,30,423,30_recovery_speedy_soon_better,"[('recovery', 0.03513917013623397), ('speedy', 0.03417011470809363), ('soon', 0.02934013631885596), ('better', 0.022128092864371517), ('feeling', 0.02119832330863966), ('hope', 0.01864098401109796), ('feel', 0.01529900327722538), ('recover', 0.014650819184748856), ('wishing', 0.010451437180686321), ('youre', 0.009553736852372905)]"
32,31,416,31_mile_marathon_ytd_running,"[('mile', 0.08614101920470763), ('marathon', 0.028903433143602362), ('ytd', 0.025731571707641083), ('running', 0.016341548562573856), ('triathlon', 0.015062653113101444), ('mileage', 0.014962642170490315), ('race', 0.014283304337142663), ('cycling', 0.013418705369565983), ('walking', 0.012927476205446754), ('run', 0.012544975813313992)]"
33,32,411,32_song_album_music_playlist,"[('song', 0.05843926777220789), ('album', 0.04460517726895661), ('music', 0.02500933640717823), ('playlist', 0.023466867267886916), ('spotify', 0.02262938911185456), ('lyric', 0.018365374383563674), ('soundtrack', 0.01763208552316443), ('singing', 0.012985067239071335), ('sing', 0.012523457249369804), ('ep', 0.010964795597640381)]"
34,33,411,33_international_celebrate_nurse_celebrating,"[('international', 0.016866950819372603), ('celebrate', 0.009251476586284696), ('nurse', 0.007554438174951745), ('celebrating', 0.007401585753206673), ('happy', 0.006964613045150419), ('celebration', 0.006335744137069113), ('bcs', 0.0060109365133824725), ('proud', 0.005204581795851685), ('day', 0.005159685653941369), ('inspiring', 0.005122014321113996)]"
35,34,391,34_disability_learning_disabled_dyslexia,"[('disability', 0.06683979167868406), ('learning', 0.03218847005948541), ('disabled', 0.009714571982324439), ('dyslexia', 0.009146404380693304), ('intellectual', 0.008675912134787913), ('adjustment', 0.006165779411704413), ('symposium', 0.005726225775111852), ('profound', 0.005420525361594777), ('promotes', 0.005197589971577688), ('wainwright', 0.005002865354342763)]"
36,35,382,35_de_laiic_et_le,"[('de', 0.0427457259753362), ('laiic', 0.029155146250839405), ('et', 0.028252830561654906), ('le', 0.027918525677781712), ('au', 0.025820970044877323), ('la', 0.025515753896021266), ('infirmires', 0.0247510399492645), ('en', 0.024490247009610756), ('infirmiers', 0.02433607706852767), ('pour', 0.02415054002472833)]"
37,36,365,36_amp_resilience_partnership_formal,"[('amp', 0.009489146514562643), ('resilience', 0.008088147381203151), ('partnership', 0.006417828023822752), ('formal', 0.004794747071288287), ('ty', 0.004275151664190377), ('proceeds', 0.003805389285766331), ('innovative', 0.0035787309180069925), ('employee', 0.003476022665775848), ('build', 0.0031391859603475563), ('wellbeing', 0.003095619082729224)]"
38,37,363,37_morning_jerseyshore_ccu_flex,"[('morning', 0.09413979495993713), ('jerseyshore', 0.07579262365138832), ('ccu', 0.07304702671329624), ('flex', 0.06794405876721209), ('jersey', 0.06604100962647642), ('tx', 0.06568177630067067), ('shore', 0.06303303384719991), ('abilene', 0.05149699050379858), ('good', 0.04798558712811635), ('fi', 0.0422388950447385)]"
