,Topic,Count,Name,details
36,35,158,35_word_wordle_quordle_letter,"[('word', 0.09189647199535957), ('wordle', 0.07069370680138538), ('quordle', 0.045809470762363254), ('letter', 0.03499103985128522), ('spell', 0.021436375400492338), ('puzzle', 0.021436375400492338), ('crocus', 0.0180665839491806), ('guess', 0.016285977195564634), ('wordles', 0.014799066774649554), ('starter', 0.014722471671253966)]"
37,36,154,36_fact_argument_ignorance_opinion,"[('fact', 0.07503603717800797), ('argument', 0.05512114583570672), ('ignorance', 0.041331561673595855), ('opinion', 0.03997592919567436), ('believe', 0.031297987781507004), ('independent', 0.02838464366533174), ('check', 0.02382494765877951), ('stupidity', 0.020987889524456526), ('belief', 0.01465652438688618), ('misunderstanding', 0.013866233300955088)]"
38,37,152,37_dental_dentist_teeth_dentistry,"[('dental', 0.08677870654943405), ('dentist', 0.08598254726428127), ('teeth', 0.050795774981813306), ('dentistry', 0.02615130884269539), ('tooth', 0.024695936582715662), ('epi', 0.01655646428506007), ('brush', 0.013927063391992588), ('numbing', 0.013775207088433834), ('articaine', 0.013775207088433834), ('paediatric', 0.013314123006770076)]"
39,38,151,38_racism_racist_race_discrimination,"[('racism', 0.07145244757127556), ('racist', 0.036192632803935004), ('race', 0.02321534962631958), ('discrimination', 0.02147692879461877), ('racial', 0.021430540164302885), ('black', 0.02127590451625676), ('white', 0.020531610255349428), ('inequity', 0.01867173514199479), ('biological', 0.011132201244712259), ('ethnicity', 0.010836095191521702)]"
40,39,149,39_christmas_merry_xmas_santa,"[('christmas', 0.18822238470557706), ('merry', 0.07328835188536176), ('xmas', 0.022059984614930472), ('santa', 0.021918015295634745), ('wark', 0.018126823944921617), ('holiday', 0.017373367217533235), ('pumpkin', 0.015251398562354386), ('spirit', 0.014794377970328568), ('kirsty', 0.014431264916414456), ('festive', 0.011214931611780702)]"
41,40,147,40_cat_catting_kitten_whoopi,"[('cat', 0.25175309422176073), ('catting', 0.028877482443053035), ('kitten', 0.025622582493221496), ('whoopi', 0.01630563843729406), ('feline', 0.015530278893351766), ('misha', 0.015426702157983556), ('downward', 0.014929346060708022), ('dead', 0.01220516760076488), ('catflap', 0.011599552522047571), ('meow', 0.011599552522047571)]"
42,41,144,41_wine_alcohol_drinking_drink,"[('wine', 0.07035565651653165), ('alcohol', 0.06524020832645491), ('drinking', 0.055036754337035004), ('drink', 0.04762900351092826), ('beer', 0.0330408283975754), ('whisky', 0.02372613287327081), ('bottle', 0.02108499076760279), ('champagne', 0.019771777394392342), ('drinker', 0.019771777394392342), ('whiskey', 0.01789301755835063)]"
43,42,143,42_hospital_ambulance_emergency_ed,"[('hospital', 0.04781068084798581), ('ambulance', 0.03509510269181757), ('emergency', 0.014553811236996908), ('ed', 0.01127573902575921), ('ward', 0.009430913581044914), ('inpatient', 0.009229044265152479), ('waiting', 0.009156216683431062), ('exit', 0.00910347655255808), ('bed', 0.008999656015555057), ('urgent', 0.00896141210641945)]"
44,43,142,43_johnson_johnsons_boris_propped,"[('johnson', 0.11413397375699112), ('johnsons', 0.03865373009100988), ('boris', 0.03347920196711037), ('propped', 0.028696566514396546), ('complicit', 0.024780844029356743), ('wrongdoing', 0.024778765087537777), ('enabled', 0.020972634894199187), ('served', 0.01897447000974623), ('corrupt', 0.017334649097875483), ('continuity', 0.014890654744919693)]"
45,44,141,44_time_hour_clock_capitalism,"[('time', 0.0525796962509912), ('hour', 0.04112243857659933), ('clock', 0.0272703592419612), ('capitalism', 0.01743130792207588), ('synchronicity', 0.017121679919511707), ('contouring', 0.015282455293989769), ('timing', 0.014967503669981348), ('disseminate', 0.014691111815058425), ('oclock', 0.014208335776502157), ('physios', 0.013136326146952202)]"
