,0,1,2,3,4,5,6,7,8,9
97,tryin ocean today,news inbox,thanks support,0,precis,0,0,impact,0,0
98,ocean,inbox,thanks support,0,beforehand,0,0,telford impact,0,0
99,uuuu,thank hope today,blast favour,0,house midnight something collect,0,0,staff patient visitor covering setting please risk infection colleague patient guidance,0,0
100,youuuu,hope today,blast,0,midnight mystery bonus,0,0,staff patient visitor covering setting please risk infection colleague patient guidance,0,0
101,youuuu,today helpless hope,blast promoting,0,fuck midnight,0,0,staff patient visitor covering setting please risk infection colleague patient guidance,0,0
102,people life,mark,thank fifi support,0,proportion trope,0,0,gardner,0,0
103,people life,mark question,thank sorry support everything take care,0,ratio,0,0,gardner gifs,0,0
104,people life,mark,support thanks,0,ratio thing time,0,0,step gardner,0,0
105,experience week service dumpster,morning saturday,thank change,0,joanna johnson garden bridge,0,0,line duty time,0,0
106,date selfcare week library information zone webinar detail,morning ready weekend everyone,thank help,0,bridge,0,0,today dunbar inspector hastings line duty,0,0
107,date selfcare week library information zone webinar detail,morning dear today weekend,thank experiment,0,home work covid hayfever post nightshift bridge sort,0,0,broadwalk empire series line duty,0,0
108,living time,story aggie support family time,sale,0,life care time,0,0,cycle path llangefni,0,0
109,negative time life,family time,buying,0,stacey care part time course brand space time,0,0,path side,0,0
110,life time,family time,sale people thanks,0,time care,0,0,path,0,0
111,shape support pillow badge,morning matteo word today,ioat contribute fund,0,virus rise child hepatitis case research,0,0,observation unit patient hour staff,0,0
112,pillow,morning devil today today,fund fund,0,spike case hepatitis explanation environment trigger editorial reason infection child,0,0,doctor downwards poverty staff time,0,0
113,bedtime,morning today,fund life brain please,0,case childhood hepatitis,0,0,time mark staff inpatient service kirklees challenge staff,0,0
114,shift week,thank hope,snigger everything,0,rainbow thank wish,0,0,nurse community respond consultation safer patient care community nurse,0,0
115,week today week people shift work night,thank hope,snoochie bitch,0,cassidy rainbow,0,0,nurse community respond consultation safer patient care inclusion health nurse,0,0
116,week work shift hour,thank hope,sneeky feeling time zone,0,week outdoors trainer rainbow,0,0,nurse community please respond consultation safer patient care practice nurse,0,0
117,entry mile week,touch,film christmas film,0,thanks evening,0,0,christ,0,0
118,mile week shoulder week,touching friend,christmas convoy,0,thank evening thanks everyone,0,0,jesus christ,0,0
119,mile week,touch,christmas post bottomless brunch christmas film soundtrack,0,evening thanks roll,0,0,christ,0,0
120,gervais heartest wait tvwise,thanks hope youre,compulsory selfie,0,perfect,0,0,body abeg,0,0
121,show wait show love,thanks grateful hope,selfie picture,0,perfect,0,0,abeg oooo,0,0
122,programme wait,thanks hope,twitter today brilliant selfies,0,perfect,0,0,abeg person,0,0
123,care anything thing,morning maggie,pack,0,sway tune,0,0,news consultation detail date minute voice,0,0
124,people care,morning maggie,pack,0,listen tune,0,0,news consultation detail date minute voice,0,0
125,stuff care,morning maggie,expansion pack,0,tune stuff,0,0,news consultation detail date minute voice,0,0
126,year today week nurse pizza board game,morning michelle,charlie woman,0,scene sleepless seattle afternoon romance soundtrack,0,0,0,0,0
127,ncpd week,morning michelle,charlie,0,tune tonight song artist lincolnshire,0,0,0,0,0
128,nurse week trinket organization everyone,morning michelle shift,charlie,0,morning tune music morning,0,0,0,0,0
129,life planning everything slip week health slip,hope weekend stay,shop moment,0,album,0,0,0,0,0
130,health week people focus,thank music setting hope weekend,shop everyday,0,album,0,0,0,0,0
131,health week poignant year,hope weekend,shop brum cannot wait,0,albumno dicethen liveboom,0,0,0,0,0
132,tonight welearn health,annie,thank word encouragement,0,nighty night,0,0,0,0,0
133,week health week medium event health care professional student twitter register welearn platform certificate,annie,encouragement,0,night savage,0,0,0,0,0
134,health week freeeeeeeee medium event wecommunities health care professional student,care till anya pick,thank encouragement support,0,night fxck,0,0,0,0,0
135,spaniel,maggie,morning claire time,0,sunflower,0,0,0,0,0
136,labrador hugh grant,maggie,morning claire,0,coronation cauliflower,0,0,0,0,0
137,labrador,hello maggie,morning claire,0,thanks sunflower today home,0,0,0,0,0
138,lauren detail,morning hope wednesday,louise,0,morning night,0,0,0,0,0
139,lauren stoneford touch thanks care baby hunter,morning hope thursday,louise,0,night morning course,0,0,0,0,0
140,lauren world,morning hope terrific tuesday,nothing louise beech,0,night morning,0,0,0,0,0
141,boom boom,angel,gratitude family,0,police promise number,0,0,0,0,0
142,boomcha,angel,gratitude survey,0,phone number,0,0,0,0,0
143,boom,angel window sketty lesbian,gratitude veer towards,0,phone number,0,0,0,0,0
144,hour hour,morning nicki hope today,asda,0,dide phone,0,0,0,0,0
145,couple hour relay time,morning nicki hope,asda folk,0,something phone,0,0,0,0,0
146,thoughafter hour,morning nicki hope today,barry,0,terry phone,0,0,0,0,0
147,weed,morning sweetie hope,lunch break,0,occasion today hour sleep work sleep afford work,0,0,0,0,0
148,london assumption weed herb people marijuana variety,morning sweetie,today year lunch break infact time water thing health,0,work night oclock,0,0,0,0,0
149,weed,morning sweetie,news lunch break finger,0,colleague night duty morning,0,0,0,0,0
150,transfer update,spec,wait conference diego daughter donut shop,0,hour night shift,0,0,0,0,0
151,update dispute,spec,gout,0,sleep brain middle hospital ward night shift wrecker,0,0,0,0,0
152,problem reload store status code message,spectating count,guess doughnut,0,hour night shift,0,0,0,0,0
