Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,nouns
83,83,1.5629495024952607e+18,2022-08-25 23:46:14+00:00,['1562949502495260672'],And away we go. https://t.co/H1A4peX2tu,away,
85,85,1.562936762875654e+18,2022-08-25 22:55:36+00:00,['1562936762875654146'],"@theage “Be a slave and work additional hours for nothing.” Cool, cool.",slave work additional hour nothing cool cool,work hour nothing cool 
86,86,1.562934978320937e+18,2022-08-25 22:48:31+00:00,['1562934978320936960'],@smh Jesus wept. The overt privilege.,jesus wept overt privilege,jesus privilege 
88,88,1.5629200990736384e+18,2022-08-25 21:49:23+00:00,['1562920099073638407'],Friday. Eating strawberries at the airport.,friday eating strawberry airport,strawberry airport 
94,94,1.5627351576853996e+18,2022-08-25 09:34:30+00:00,['1562735157685399552'],"Weird one today. Wordle 432 4/6

⬛⬛⬛⬛⬛
⬛🟨⬛⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩",weird one today wordle,today 
97,97,1.5626150721778278e+18,2022-08-25 01:37:19+00:00,['1562615072177827840'],"@xskinn Good to hear, Ian.  I would say take it easy but it's not as though you have any option.  Hope you're feeling better soon.",good hear ian would say take easy though option hope feeling better soon,hear option 
100,100,1.562387707120128e+18,2022-08-24 10:33:51+00:00,['1562387707120128000'],@Joannechocolat Happy Anniversary!,happy anniversary,anniversary 
101,101,1.562386774848e+18,2022-08-24 10:30:09+00:00,['1562386774848000000'],@tarang_chawla Your hair! ❤️,hair,hair 
102,102,1.5623206357321687e+18,2022-08-24 06:07:20+00:00,['1562320635732168705'],"Get Sussan Ley demanding the Government do all the things her gang of shitheads didn't as a matter of urgency.  Wasn't a priority for you when you were in charge, was it? Sit down, hypocrite.  #Auspol",get sussan ley demanding government thing gang shithead matter urgency priority charge sit hypocrite,ley government thing gang matter urgency priority charge sit hypocrite 
103,103,1.5623148702800404e+18,2022-08-24 05:44:26+00:00,['1562314870280040450'],"@tatafoofafrica @KabbieArlish Pipe down, poppet, the grown ups are talking.",pipe poppet grown ups talking,pipe poppet 
105,105,1.5623132675483976e+18,2022-08-24 05:38:04+00:00,['1562313267548397571'],"Watching a quiz show instead of working and shouting Phillip Larkin at the TV as you do. And yes, I was right.",watching quiz show instead working shouting phillip larkin yes right,quiz show 
107,107,1.562271319479427e+18,2022-08-24 02:51:22+00:00,['1562271319479427072'],@MotherJones Outstanding piece of writing. Thank you.,outstanding piece writing thank,piece thank 
110,110,1.5622545518096548e+18,2022-08-24 01:44:45+00:00,['1562254551809654786'],@AdamBienkov Fucking hell.,fucking hell,hell 
111,111,1.5622542091140628e+18,2022-08-24 01:43:23+00:00,['1562254209114062854'],@NoClassNoClass I do like seeing him as PM though. He seems genuine. And not seeing Morrison has been great for my blood pressure.,like seeing though seems genuine seeing morrison great blood pressure,morrison blood pressure 
113,113,1.5621817230390886e+18,2022-08-23 20:55:21+00:00,['1562181723039088642'],@KabbieArlish @tatafoofafrica He knows it wasn’t a joke. He thinks it’s ok for men to treat women as property. He’s an ‘other’ Tate fan.,know wasnt joke think men treat woman property tate fan,joke woman property tate fan 
115,115,1.562059265074172e+18,2022-08-23 12:48:45+00:00,['1562059265074171904'],@jlsinc @StephenCVGraham How dare she turn up her nose at a Fray Bentos pie?,dare turn nose fray bentos pie,dare turn fray bentos pie 
118,118,1.562039394844164e+18,2022-08-23 11:29:47+00:00,['1562039394844164098'],"“I’m a doctor, not a dragon slayer.” #StarTrekVoyager",doctor dragon slayer,doctor dragon slayer 
123,123,1.56196270340062e+18,2022-08-23 06:25:03+00:00,['1561962703400620032'],Why would you choose to travel facing backwards when you can move your seat direction? Looking at the rest of us like we’re the weirdos. #TrainFun,would choose travel facing backwards move seat direction looking rest like weirdo,travel facing seat direction rest weirdo 
126,126,1.5617888063068774e+18,2022-08-22 18:54:02+00:00,['1561788806306877441'],@drphiliplee1 Good luck! Although I’m sure you won’t need it.,good luck although sure wont need,luck 
129,129,1.561663932284416e+18,2022-08-22 10:37:50+00:00,['1561663932284416000'],@NoClassNoClass We can but hope.,hope,hope 
131,131,1.561600143350063e+18,2022-08-22 06:24:21+00:00,['1561600143350063111'],Over three decades as a nurse and do you think I can spell resuscitate without using spellcheck?  No. I cannot.,three decade nurse think spell resuscitate without using spellcheck cannot,decade nurse spell resuscitate spellcheck 
132,132,1.5615914173984072e+18,2022-08-22 05:49:41+00:00,['1561591417398407168'],@LiangRhea He's very delicate.,he's delicate,
133,133,1.5615374554292838e+18,2022-08-22 02:15:15+00:00,['1561537455429283840'],@JaneoOakley @thejimmalo I bought a possum fur hat in Wellington. I was very hesitant until the situation was explained to me. I bloody love it.,bought possum fur hat wellington hesitant situation explained bloody love,possum fur situation love 
134,134,1.5615271475287409e+18,2022-08-22 01:34:18+00:00,['1561527147528740864'],@Careopuff @NeenerJB @cactusmaac @ennuigo You’ve never been so stressed that a seemingly small thing to others is upsetting? Good for you.,youve never stressed seemingly small thing others upsetting good,thing 
136,136,1.5615266878288325e+18,2022-08-22 01:32:28+00:00,['1561526687828832256'],@NoClassNoClass That explains another tweet I saw earlier. Thanks!,explains another tweet saw earlier thanks,tweet 
138,138,1.561503665495556e+18,2022-08-22 00:00:59+00:00,['1561503665495556096'],@TheBlondeRN Disgusting.  I hope you're okay.,disgusting hope okay,hope okay 
140,140,1.5614765241295258e+18,2022-08-21 22:13:08+00:00,['1561476524129525760'],@DamoclesBDA @anon_opin It’s almost as though they’ve never watched the show.,almost though theyve never watched show,show 
141,141,1.5614661702049014e+18,2022-08-21 21:32:00+00:00,['1561466170204901376'],"@Laurence_in_EU Oh, Lawrence. You couldn’t leave well enough alone.  You tit.",lawrence couldnt leave well enough alone tit,lawrence couldnt 
142,142,1.5614657505270497e+18,2022-08-21 21:30:20+00:00,['1561465750527049729'],You must read this. https://t.co/hyvoTle9Oz,must read,
145,145,1.5613420542479852e+18,2022-08-21 13:18:48+00:00,['1561342054247985153'],@garrettbridges @TomekMoss The feet were almost as awful as the ‘cuisine’.,foot almost awful cuisine,foot cuisine 
