id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,nouns
1.526217869889278e+18,2022-05-16 15:07:50+00:00,['1526217869889277954'],@TalkTV Disgusting act of animal cruelty,,disgusting act animal cruelty,True,act animal cruelty 
1.519827322760794e+18,2022-04-28 23:54:05+00:00,['1519827322760794116'],@SjamaanN Hello little man x,,hello little man,True,man 
1.5146471033640755e+18,2022-04-14 16:49:44+00:00,['1514647103364075527'],"@AlStewartOBE How lovely .. I’ve had my tortoise (Herman, I know not very original) for 17 years and am too afraid to hibernate him in case he doesn’t wake up 😕 https://t.co/LwpMVBqNt8",,lovely ive tortoise herman know original year afraid hibernate case doesnt wake,True,tortoise herman year hibernate case 
1.5125162732420014e+18,2022-04-08 19:42:35+00:00,['1512516273242001412'],@Natures_Voice Pied wagtail?,,pied wagtail,True,wagtail 
1.5121490480226875e+18,2022-04-07 19:23:22+00:00,['1512149048022687759'],"@IAPonomarenko OMG ., rest in peace little man x",,omg rest peace little man,True,peace man 
1.511958452339417e+18,2022-04-07 06:46:00+00:00,['1511958452339417097'],@avalaina Take care young man x,,take care young man,True,care man 
1.5118492636298445e+18,2022-04-06 23:32:07+00:00,['1511849263629844483'],@JenniferB41 Yep,,yep,True,yep 
1.5118486382422958e+18,2022-04-06 23:29:38+00:00,['1511848638242295809'],"@mhdksafa Yes.. at least 6 people .. wear a mask, keep your distance, and wash your hands often. It works.",,yes least people wear mask keep distance wash hand often work,True,distance hand work 
1.5118472715535073e+18,2022-04-06 23:24:12+00:00,['1511847271553507334'],@MorariuOctavian Hero x,,hero,True,hero 
1.511122070222082e+18,2022-04-04 23:22:31+00:00,['1511122070222082059'],Cartoon from @Spectator’s Evening Blend. Sign up for free: https://t.co/v0ECXmgGg6 https://t.co/bKTniD8evM,,cartoon evening blend sign free,True,cartoon sign 
