id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.556161179373953e+18,2022-08-07 06:11:51+00:00,['1556161179373953024'],Solidarity with inspirational @BootstrapCook,solidarity with inspirational ,solidarity
1.555108792576131e+18,2022-08-04 08:30:03+00:00,['1555108792576131072'],@justicefordeji @metpoliceuk So sorry for your loss. Sending love and solidarity.,  so sorry for your loss sending love and solidarity,loss love solidarity
1.5547153058842378e+18,2022-08-03 06:26:28+00:00,['1554715305884237825'],@The_TUC Really good news., really good news,news
1.5545121147814953e+18,2022-08-02 16:59:04+00:00,['1554512114781495297'],@crushtheracists Excellent news!, excellent news,news
1.5544565629110354e+18,2022-08-02 13:18:19+00:00,['1554456562911035393'],"Still happening. ‘I have to plan for if I am stranded, if I am dropped, if my chair is damaged’: the perils of travelling while disabled https://t.co/YszDsC6XJx",still happening i have to plan for if i am stranded if i am dropped if my chair is damaged the perils of travelling while disabled ,chair peril
1.553292773683503e+18,2022-07-30 08:13:50+00:00,['1553292773683503104'],@jennybrooks62 Congratulations and thank you, congratulations and thank you,congratulation thank
1.552692407451394e+18,2022-07-28 16:28:12+00:00,['1552692407451394049'],@PippaCrerar @MirrorPolitics Thank you.,  thank you,thank
1.552690315995259e+18,2022-07-28 16:19:53+00:00,['1552690315995258884'],Bring back covid sick pay for NHS professionals - Sign the Petition! https://t.co/mquhZPItfM via @UKChange,bring back covid sick pay for nhs professionals  sign the petition  via ,professional petition
1.5525752150703186e+18,2022-07-28 08:42:31+00:00,['1552575215070318592'],RIP Bernard Cribbens. One of the good guys. Thank you.,rip bernard cribbens one of the good guys thank you,bernard
1.551965513957376e+18,2022-07-26 16:19:47+00:00,['1551965513957376004'],@dr_shibley Condolences. Sending love., condolences sending love,condolence love
1.5519646219086234e+18,2022-07-26 16:16:14+00:00,['1551964621908623360'],@ElysiumFields10 @CareQualityComm So distressing. Went through this with both my parents. Hope you manage to get it sorted.,  so distressing went through this with both my parents hope you manage to get it sorted,parent
1.55182487579435e+18,2022-07-26 07:00:56+00:00,['1551824875794350083'],@mobo40 @mini_lebowski Congratulations to you and your school. Now rest and recover.,  congratulations to you and your school now rest and recover,congratulation school rest
1.5516255744766157e+18,2022-07-25 17:48:59+00:00,['1551625574476615682'],@Mardyoldgal Happy birthday!, happy birthday,birthday
1.551611177901478e+18,2022-07-25 16:51:47+00:00,['1551611177901477893'],@fbunational Wish you better @MattWrack, wish you better ,wish
1.5515208417243013e+18,2022-07-25 10:52:49+00:00,['1551520841724301312'],@AdamPagett3 Congratulations., congratulations,congratulation
1.5509408619193797e+18,2022-07-23 20:28:11+00:00,['1550940861919379457'],"Congratulations, Rachel! https://t.co/p0YGe5NXf2",congratulations rachel ,congratulation
1.5505218778981704e+18,2022-07-22 16:43:17+00:00,['1550521877898170370'],@LeighanRenaud Sorry that happened to you and your beautiful baby., sorry that happened to you and your beautiful baby,sorry baby
1.5505204115274465e+18,2022-07-22 16:37:28+00:00,['1550520411527446531'],@BlakesWheels Sending love, sending love,love
1.5504131474540134e+18,2022-07-22 09:31:14+00:00,['1550413147454013440'],@BarristerSecret @Joanna__Hardy Took my breath away.,  took my breath away,breath
1.5504005405925458e+18,2022-07-22 08:41:08+00:00,['1550400540592545792'],@Bluesandwhites7 Congratulations and thank you. Enjoy the day and your retirement., congratulations and thank you enjoy the day and your retirement,congratulation thank retirement
1.5501039006650286e+18,2022-07-21 13:02:24+00:00,['1550103900665028608'],@zarahsultana Thank you. Wish it wasn't necessary., thank you wish it wasn't necessary,thank
1.5500265933132145e+18,2022-07-21 07:55:12+00:00,['1550026593313214465'],@PosenIzzy Wtaf?, wtaf,wtaf
1.5500132927557878e+18,2022-07-21 07:02:21+00:00,['1550013292755787776'],@louiseatkinso14 @NEUnion Very best of luck.,  very best of luck,luck
1.5498540524098191e+18,2022-07-20 20:29:35+00:00,['1549854052409819137'],"@ChrisMoyse Congratulations, Melanie. Enjoy your retirement.", congratulations melanie enjoy your retirement,congratulation retirement
1.549782723228729e+18,2022-07-20 15:46:09+00:00,['1549782723228729344'],@tricyclemayor Congratulations!, congratulations,congratulation
1.5496907192160502e+18,2022-07-20 09:40:33+00:00,['1549690719216050177'],@burch67 Your efforts meant he wasn't alone and his family will know good people did their best. Thank you. I hope you have the support you need., your efforts meant he wasn't alone and his family will know good people did their best thank you i hope you have the support you need,effort family people thank support
1.548244746346193e+18,2022-07-16 09:54:47+00:00,['1548244746346192900'],@MichaelRosenYes @DrJoGrady Thank you. I hope they are.,  thank you i hope they are,thank
1.54824062151245e+18,2022-07-16 09:38:23+00:00,['1548240621512450050'],@ronanburtenshaw @RMTunion Excellent! Thank you.,  excellent thank you,excellent thank
1.5482011635472425e+18,2022-07-16 07:01:36+00:00,['1548201163547242499'],@paullewismoney Wish you better soon., wish you better soon,wish
1.5481886082463457e+18,2022-07-16 06:11:42+00:00,['1548188608246345729'],@MsPTeach1 Please do!, please do,please
1.5469025521591788e+18,2022-07-12 17:01:23+00:00,['1546902552159178752'],"@MichaelRosenYes That's rotten, Michael. I don't use Uber either. @chunkymark can you shed any light on this? Hard to understand.", that's rotten michael i don't use uber either  can you shed any light on this hard to understand,rotten michael light
1.546760548183937e+18,2022-07-12 07:37:06+00:00,['1546760548183937024'],"@ellen__jones It's comfy and you like it, so it's definitely ok. Plus, as it happens, it looks great.", it's comfy and you like it so it's definitely ok plus as it happens it looks great,comfy
1.5464741089127956e+18,2022-07-11 12:38:54+00:00,['1546474108912795648'],@GeorgeMonbiot @VodafoneUK Sorry for your loss. Hope this gets sorted.,  sorry for your loss hope this gets sorted,sorry loss hope
1.5464127780675625e+18,2022-07-11 08:35:11+00:00,['1546412778067562497'],@danielgoyal Sorry to hear this. Sending love., sorry to hear this sending love,sorry sending love
1.5461839632653517e+18,2022-07-10 17:25:58+00:00,['1546183963265351680'],@Nurseborisbash @TwitterSafety Hope you get the support you need.,  hope you get the support you need,hope support
1.5461714844728074e+18,2022-07-10 16:36:23+00:00,['1546171484472807427'],"@AngelaRayner @lia_nici Solidarity, @AngelaRayner",  solidarity ,solidarity
1.5457558170261422e+18,2022-07-09 13:04:40+00:00,['1545755817026142209'],@MahlapeThabiso Beautiful girl ❤, beautiful girl ,girl
