id,created_at,edit_history_tweet_ids,text,clean_text,non_english,nouns
1.4131925260524012e+18,2021-07-08 17:45:28+00:00,['1413192526052401153'],@beechlodge @Szmiglet Oh I love it! 😍,love,True,love 
1.412892561908306e+18,2021-07-07 21:53:31+00:00,['1412892561908305921'],@ClaudiNangsuu VOTED!! 😍,voted,True,
1.412888833151099e+18,2021-07-07 21:38:42+00:00,['1412888833151098883'],Arise Sir Gareth Southgate 😍😍😍,arise sir gareth southgate,True,arise sir gareth southgate 
1.412882508597891e+18,2021-07-07 21:13:34+00:00,['1412882508597891077'],OH MY GOD OH MY GOD OH MY GOD!!!,god god god,True,god god god 
1.4128286708472955e+18,2021-07-07 17:39:38+00:00,['1412828670847295488'],@Gwenelope WHOOHOO!!! 😍 https://t.co/uz7iPcWLG6,whoohoo,True,whoohoo 
1.412449846531965e+18,2021-07-06 16:34:20+00:00,['1412449846531964928'],@missteachxo Best of luck with everything x,best luck everything,True,luck everything 
1.4124467887459e+18,2021-07-06 16:22:11+00:00,['1412446788745900038'],@MissSDoherty @Mr_AlmondED Happy birthday @Mr_AlmondED 🎂,happy birthday,True,birthday 
1.412304506738692e+18,2021-07-06 06:56:48+00:00,['1412304506738692097'],@QushchuA Stunning! 😍,stunning,True,
1.4116324275424502e+18,2021-07-04 10:26:12+00:00,['1411632427542450177'],@ZoeParamour @timparamour This is BRILLIANT 🤣,brilliant,True,brilliant 
1.411631201085952e+18,2021-07-04 10:21:19+00:00,['1411631201085952000'],@jazampawfarr Well let's just say that I'm always terrified when my bunny babies go to boarding when we're on holiday so I guess it's probably the same for parents of hoomins?! 🤔,well let's say i'm always terrified bunny baby boarding we're holiday guess probably parent hoomins,True,let baby boarding guess parent 
1.4114342746083287e+18,2021-07-03 21:18:48+00:00,['1411434274608328711'],@AnniePendrey @earlyyearshelin @Lisa1971harlow @ColeFey @spark1ing_sugar @Mrs_LauraGee @LauraHAllain @EYFS_TfW_Guru @EmmaDee77 @carolineeady1 @janineEYT @todayinyear2 What. A. GENTLEMAN. 😍,gentleman,True,gentleman 
1.4114333081861038e+18,2021-07-03 21:14:58+00:00,['1411433308186103811'],"@GarethSouthgate is honestly just the best manager, what an incredible job he's doing with the team 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/A4eMJrH2Tr",honestly best manager incredible job he's team,True,manager job team 
1.4114330415289797e+18,2021-07-03 21:13:54+00:00,['1411433041528979457'],@AnniePendrey @earlyyearshelin @Lisa1971harlow @ColeFey @spark1ing_sugar @Mrs_LauraGee @LauraHAllain @EYFS_TfW_Guru @EmmaDee77 @carolineeady1 @janineEYT @todayinyear2 Oh gosh that's ok my love xxx I hope your nephew is still enjoying school 😍,gosh that's love xxx hope nephew still enjoying school,True,gosh school 
1.411432289813287e+18,2021-07-03 21:10:55+00:00,['1411432289813286919'],"@AnniePendrey @earlyyearshelin @Lisa1971harlow @ColeFey @spark1ing_sugar @Mrs_LauraGee @LauraHAllain @EYFS_TfW_Guru @EmmaDee77 @carolineeady1 @janineEYT @todayinyear2 Oh Annie, I can't like that reply 😔 I'm so sorry to hear what a tough time he's having. I wish there was something I could say to make things better but please at least send him all my best wishes xxx",annie can't like reply i'm sorry hear tough time he's wish something could say make thing better please least send best wish xxx,True,annie time something thing please xxx 
1.411431358363222e+18,2021-07-03 21:07:13+00:00,['1411431358363222018'],"@AnniePendrey @earlyyearshelin @Lisa1971harlow @ColeFey @spark1ing_sugar @Mrs_LauraGee @LauraHAllain @EYFS_TfW_Guru @EmmaDee77 @carolineeady1 @janineEYT @todayinyear2 How are you, Annie? How's your brother doing? X",annie how's brother,True,brother 
1.411431130696401e+18,2021-07-03 21:06:19+00:00,['1411431130696400899'],"@earlyyearshelin @Lisa1971harlow @ColeFey @AnniePendrey @spark1ing_sugar @Mrs_LauraGee @LauraHAllain @EYFS_TfW_Guru @EmmaDee77 @carolineeady1 @janineEYT @todayinyear2 I hope you had a lovely day, lovely lady 😍",hope lovely day lovely lady,True,hope day 
1.4114301200368968e+18,2021-07-03 21:02:18+00:00,['1411430120036896770'],SO PROUD OF THEM BOTH 😍 https://t.co/CtRxb48vet,proud,True,proud 
1.4114300680150548e+18,2021-07-03 21:02:05+00:00,['1411430068015054849'],@CathysArtPalace SO PROUD OF THEM BOTH 😍,proud,True,proud 
1.4114295418060186e+18,2021-07-03 21:00:00+00:00,['1411429541806018567'],@MInquisitivity I found myself hoping Ukraine would at least get one cos I felt so bad for them 🤣,found hoping ukraine would least get one felt bad,True,felt 
1.411429175219655e+18,2021-07-03 20:58:33+00:00,['1411429175219654658'],@MInquisitivity It's so weird to just watch the match without hiding behind the sofa 😬,weird watch match without hiding behind sofa,True,watch match sofa 
1.411429002556985e+18,2021-07-03 20:57:51+00:00,['1411429002556985344'],@KyrstieStubbs Perfect! 👌,perfect,True,perfect 
1.4114268141368156e+18,2021-07-03 20:49:10+00:00,['1411426814136815618'],"IT'S COMING HOME,
IT'S COMING HOME,
IT'S COMING,
FOOTBALL'S COMING HOME 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/NFVS0U7aZP",coming home coming home coming football's coming home,True,home football home 
1.411423445129257e+18,2021-07-03 20:35:46+00:00,['1411423445129256960'],@owen_jermy LOVE. HIM.,love,True,love 
1.4113753699371704e+18,2021-07-03 17:24:44+00:00,['1411375369937170434'],Hundreds of skeletons unearthed at Pembrokeshire beach after storms  https://t.co/TdIpgUdAam,hundred skeleton unearthed pembrokeshire beach storm,True,skeleton pembrokeshire beach storm 
1.4112934041731482e+18,2021-07-03 11:59:02+00:00,['1411293404173148161'],@ScottPughsley Brilliant 🤣🤣🤣,brilliant,True,brilliant 
1.411233581876265e+18,2021-07-03 08:01:20+00:00,['1411233581876264963'],@mrsdenyer @channel5_tv Oof 😬,oof,True,oof 
1.4112298033536737e+18,2021-07-03 07:46:19+00:00,['1411229803353673732'],@mrsdenyer @channel5_tv Oh I beat you into the classroom by a year! How can it be possibly be that long ago?!,beat classroom year possibly long ago,True,beat classroom year 
1.4110204378746757e+18,2021-07-02 17:54:22+00:00,['1411020437874675715'],@windmilllead @FeefeeShelts @DerbyUni Brilliant! 😍,brilliant,True,brilliant 
1.4109668375008133e+18,2021-07-02 14:21:23+00:00,['1410966837500813316'],@emilyvalenza Anything blue would be fab 😍,anything blue would fab,True,anything blue 
1.410966704037978e+18,2021-07-02 14:20:51+00:00,['1410966704037978122'],@emilyvalenza Oh how wonderful! And I'd love this to celebrate moving into online tutoring 😍 https://t.co/4NtnGrqqQV,wonderful i'd love celebrate moving online tutoring,True,i celebrate tutoring 
1.4109412849241498e+18,2021-07-02 12:39:51+00:00,['1410941284924149773'],"So I can finally announce that after 26 years I am leaving school-based teaching at the end of this term. Going into business on my own as an online dyscalculia tutor, assessor and trainer. So excited! 😍 

https://t.co/Ka60xMKguE",finally announce year leaving schoolbased teaching end term going business online dyscalculia tutor assessor trainer excited,True,year term business online dyscalculia tutor assessor trainer 
1.4109180612517028e+18,2021-07-02 11:07:34+00:00,['1410918061251702784'],@Alienwife99 Nooooooo!,nooooooo,True,nooooooo 
1.4109169855133286e+18,2021-07-02 11:03:17+00:00,['1410916985513328648'],@tstarkey1212 @NEUnion That's my membership cancelled.,that's membership cancelled,True,membership 
