Unnamed: 0,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,whitespace
1567,1.274001871867347e+18,2020-06-19 15:31:30+00:00,['1274001871867346948'],@RichieOffish @GypsyTravellerM @eBay_UK @AskeBay @StopFundingHate because it's racist and offensive and shouldn't be okay?,,     because its racist and offensive and shouldnt be okay,True,False
1568,1.2739961549345628e+18,2020-06-19 15:08:47+00:00,['1273996154934562819'],@GypsyTravellerM @eBay_UK @AskeBay @StopFundingHate How many times has this been brought to their attention now??,,    how many times has this been brought to their attention now,True,False
1569,1.2739832803339592e+18,2020-06-19 14:17:38+00:00,['1273983280333959169'],"in happy news, my little cluster of kids (aged between 3 and 6) did some really cute pictures inspired by Gabi Jimenez as part of our #GRTHM work! https://t.co/pAhkTeMzh2",,in happy news my little cluster of kids aged between 3 and 6 did some really cute pictures inspired by gabi jimenez as part of our  work ,True,False
1570,1.273973316039164e+18,2020-06-19 13:38:02+00:00,['1273973316039163906'],"""They're not a race they are an ethnic minority
Who's gonna tell this one..... 🤦🏼‍♀️ https://t.co/DxICoyNq2t",,"theyre not a race they are an ethnic minority
whos gonna tell this one  ",True,False
1575,1.2737504945535508e+18,2020-06-18 22:52:37+00:00,['1273750494553550848'],"same people wouldn't ever dream of saying other racial slurs, funny how this one is totally casual.. https://t.co/9ve88KRsbN",,same people wouldnt ever dream of saying other racial slurs funny how this one is totally casual ,True,False
1577,1.2737238203235942e+18,2020-06-18 21:06:38+00:00,['1273723820323594240'],"@ryan181112 I have so so much admiration for parents home schooling because it IS difficult. These aren't normal circumstances for anyone so, it's sort of mad for anyone (looking at the government) to expect children to ""keep calm and carry on"" working as usual!!",, i have so so much admiration for parents home schooling because it is difficult these arent normal circumstances for anyone so its sort of mad for anyone looking at the government to expect children to keep calm and carry on working as usual,True,False
1578,1.2736937193179423e+18,2020-06-18 19:07:01+00:00,['1273693719317942273'],"we uhh also haven't had a holiday? we've been open the whole time. 
just tell me you don't care about teachers and move on tbh.",,"we uhh also havent had a holiday weve been open the whole time 
just tell me you dont care about teachers and move on tbh",True,False
1579,1.2736937182105846e+18,2020-06-18 19:07:01+00:00,['1273693718210584576'],"Everyone is still at risk, children feel it and are carriers, the mess the government has left vulnerable kids in has had a huge effect.",,everyone is still at risk children feel it and are carriers the mess the government has left vulnerable kids in has had a huge effect,True,False
1580,1.2736937164238725e+18,2020-06-18 19:07:00+00:00,['1273693716423872512'],anyone want to chat to me about the schools being open you've got to look at the open wounds and bite marks I've had this last fortnight before I'll listen to you.,,anyone want to chat to me about the schools being open youve got to look at the open wounds and bite marks ive had this last fortnight before ill listen to you,True,False
1582,1.2736931841415086e+18,2020-06-18 19:04:53+00:00,['1273693184141508614'],"@KirstieMAllsopp It is a danger to kids. And teachers.
Ain't just the virus that's a risk, the emotional and social damage that's been done has left a lot of children not in a place to be trapped back in a school all day every day. But it's cool. We get it. You don't care about teachers.",," it is a danger to kids and teachers
aint just the virus thats a risk the emotional and social damage thats been done has left a lot of children not in a place to be trapped back in a school all day every day but its cool we get it you dont care about teachers",True,False
1583,1.273668218276778e+18,2020-06-18 17:25:41+00:00,['1273668218276777984'],@GypsyTravellerM @GRTPA_UK @TravellersTimes @OpBlackVote @CoreRace @NBPAUK @metpoliceuk @EP_RURAL Are any of these being recorded / re shown? Would absolutely love to be able to join and listen but they've all been during work hours x,,        are any of these being recorded  re shown would absolutely love to be able to join and listen but theyve all been during work hours x,True,False
1584,1.2736680541871964e+18,2020-06-18 17:25:02+00:00,['1273668054187196419'],Genuinely so excited for this one. All the progress in dialogue events have been amazing so far though! https://t.co/QAxAnQq4o1,,genuinely so excited for this one all the progress in dialogue events have been amazing so far though ,True,False
1588,1.2733318389505393e+18,2020-06-17 19:09:02+00:00,['1273331838950539264'],"going from texting to marking work on my phone and finding i almost ended a bit of feedback with ""xxxx"" is.... peak teacher brain",,going from texting to marking work on my phone and finding i almost ended a bit of feedback with xxxx is peak teacher brain,True,False
1598,1.2729298186240369e+18,2020-06-16 16:31:33+00:00,['1272929818624036864'],@GypsyTravellerM @Chrissiebrowne @KCLWP @chelsmcdonagh @EsmeeFairbairn @IYFUK @IrelandEmbGB @thetudortrust @jrf_uk It's so exciting! Congratulations for starting up something that's been so successful and such a help in these times ❤️,,         its so exciting congratulations for starting up something thats been so successful and such a help in these times ,True,False
1602,1.272615419317191e+18,2020-06-15 19:42:14+00:00,['1272615419317190663'],👇👇 petition is in the 2nd tweet of this thread https://t.co/ZJdo06FXQj,, petition is in the 2nd tweet of this thread ,True,False
1603,1.2726150335586632e+18,2020-06-15 19:40:42+00:00,['1272615033558663174'],"Wouldn't this be a nice addition for #GRTHM? (And general visibility!) 

We want a Romani Flag Emoji! - Sign the Petition! https://t.co/L9ujivnkoh via @UKChange",,"wouldnt this be a nice addition for  and general visibility 

we want a romani flag emoji  sign the petition  via ",True,False
1605,1.2722617585525473e+18,2020-06-14 20:16:55+00:00,['1272261758552547329'],"@Minceirbeoir Sorry for your loss ❤️ be kind to yourself, if you can x",, sorry for your loss  be kind to yourself if you can x,True,False
1610,1.2721351704856535e+18,2020-06-14 11:53:54+00:00,['1272135170485653504'],@BrennKerry Aw well one day!! Big barbecue out in a nice field or garden ☺️❤️,, aw well one day big barbecue out in a nice field or garden ,True,False
1611,1.2719410791562977e+18,2020-06-13 23:02:39+00:00,['1271941079156297729'],@calumishere Is it too late for cat piss water balloons,, is it too late for cat piss water balloons,True,False
1612,1.2719063484108308e+18,2020-06-13 20:44:38+00:00,['1271906348410830849'],Welcome to the lives of literally every minority group in the world at the hands of white people 🤷🏼‍♀️ https://t.co/HBuFDcEs5s,,welcome to the lives of literally every minority group in the world at the hands of white people  ,True,False
1615,1.2718796710099436e+18,2020-06-13 18:58:38+00:00,['1271879671009943554'],@BrennKerry You absolutely deserve all the good things ❤️❤️❤️ Always on your side!,, you absolutely deserve all the good things  always on your side,True,False
1618,1.2717871654548275e+18,2020-06-13 12:51:03+00:00,['1271787165454827520'],@ryan181112 @essencemck You would really hope things were better in 2020 but it’s gone unchecked and unchallenged for so so long,,  you would really hope things were better in 2020 but it’s gone unchecked and unchallenged for so so long,True,False
1620,1.2717810897581384e+18,2020-06-13 12:26:55+00:00,['1271781089758138370'],"@ryan181112 @essencemck Oh god absolutely, totally horrific thing to watch",,  oh god absolutely totally horrific thing to watch,True,False
1623,1.2717736801468006e+18,2020-06-13 11:57:28+00:00,['1271773680146800640'],@martinbeanz Honestly by saying it's not either of your  discussions that is a good start - next step really would depend on the response to that,, honestly by saying its not either of your  discussions that is a good start  next step really would depend on the response to that,True,False
1624,1.2717256961513677e+18,2020-06-13 08:46:48+00:00,['1271725696151367682'],"lol sorry your government had to cover their racist statues, an act in itself that admits they know and acknowledge the racism of the person 🤷🏼‍♀️ 
also small point.. 50000 people have died and it's the tories fault. that's a bit more sad than some dead racist being covered innit https://t.co/AGv1q4cyRv",,"lol sorry your government had to cover their racist statues an act in itself that admits they know and acknowledge the racism of the person  
also small point 50000 people have died and its the tories fault thats a bit more sad than some dead racist being covered innit ",True,False
1625,1.2717253864523407e+18,2020-06-13 08:45:34+00:00,['1271725386452340740'],"@BrennKerry You are such a strong person Kerry ❤️ nowt about you has broken, it's a new stage and step and you're going to still be your best ⭐️ won't always feel it but just by keeping on going, you really are",, you are such a strong person kerry  nowt about you has broken its a new stage and step and youre going to still be your best  wont always feel it but just by keeping on going you really are,True,False
1627,1.2715290691511706e+18,2020-06-12 19:45:28+00:00,['1271529069151170560'],"@TravellersTimes @hellobrigitta @profcolinclark Must have been a hard one to write but this is a great article, thank you both",,   must have been a hard one to write but this is a great article thank you both,True,False
1633,1.271479374194389e+18,2020-06-12 16:28:00+00:00,['1271479374194388992'],Gavin Williamson MP: Teach British children about the realities of British Imperialism and Colonialism - Sign the Petition! https://t.co/nxaIfz6Ete via @UKChange 👏,,gavin williamson mp teach british children about the realities of british imperialism and colonialism  sign the petition  via  ,True,False
1640,1.2711421185647903e+18,2020-06-11 18:07:52+00:00,['1271142118564790273'],Definitely get in on this if you can ❤️ https://t.co/efoMiJ5Kvp,,definitely get in on this if you can  ,True,False
1643,1.2707911928469668e+18,2020-06-10 18:53:25+00:00,['1270791192846966784'],"Listen as long as @GavinWilliamson steps up and teaches it for us, that's grand. Those of us that have been in work without holiday since the start of the pandemic sure ain't going to be doing this 🙃 https://t.co/aYFrlgdBvm",,listen as long as  steps up and teaches it for us thats grand those of us that have been in work without holiday since the start of the pandemic sure aint going to be doing this  ,True,False
