id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1.3643285625689293e+18,2021-02-23 21:37:31+00:00,['1364328562568929287'],@MrEFinch #EduTattoo no story necessary #BlessedAndGratefulHead https://t.co/7fP8brV96f,story necessary,False
1.3639074785100472e+18,2021-02-22 17:44:17+00:00,['1363907478510047237'],"@Teacherglitter @moses_brian @paulcooksonpoet Mr Moore, Crocodile in the House",mr moore crocodile house,False
1.363905751471829e+18,2021-02-22 17:37:25+00:00,['1363905751471828992'],Thank you @mrsunsworth35 https://t.co/1MXFfF04d7,thank,False
1.3636342109558006e+18,2021-02-21 23:38:25+00:00,['1363634210955800582'],@BBCNews It continues to dismay me that journalists/newspapers (whilst only doing their jobs) are briefed before the announcement - and before school leaders who actually have to put the plans into operation and will be fielding questions from families at the school gate in the morning,continues dismay journalistsnewspapers whilst job briefed announcement school leader actually put plan operation fielding question family school gate morning,False
1.3636322469182382e+18,2021-02-21 23:30:37+00:00,['1363632246918238212'],Just posted a video @ Bolton https://t.co/obGXoaw6TI,posted video bolton,False
1.3636312027464417e+18,2021-02-21 23:26:28+00:00,['1363631202746441736'],@GavinWilliamson It continues to dismay me that journalists/newspapers are briefed before the announcement - and before school leaders who actually have to put the plans into operation and will be fielding questions from families at the school gate in the morning,continues dismay journalistsnewspapers briefed announcement school leader actually put plan operation fielding question family school gate morning,False
1.3636309596823347e+18,2021-02-21 23:25:30+00:00,['1363630959682334720'],@bbclaurak It continues to dismay me that journalists/newspapers (whilst only doing their jobs) are briefed before the announcement - and before school leaders who actually have to put the plans into operation and will be fielding questions from families at the school gate in the morning,continues dismay journalistsnewspapers whilst job briefed announcement school leader actually put plan operation fielding question family school gate morning,False
1.3636308142741422e+18,2021-02-21 23:24:55+00:00,['1363630814274142209'],@janeconsidine It continues to dismay me that journalists/newspapers (whilst only doing their jobs) are briefed before the announcement - and before school leaders who actually have to put the plans into operation and will be fielding questions from families at the school gate in the morning,continues dismay journalistsnewspapers whilst job briefed announcement school leader actually put plan operation fielding question family school gate morning,False
1.363630736562135e+18,2021-02-21 23:24:37+00:00,['1363630736562135041'],@BBCNews It continues to dismay me that journalists/newspapers (whilst only doing their jobs) are briefed before the announcement - and before school leaders who actually have to put the plans into operation and will be fielding questions from families at the school gate in the morning,continues dismay journalistsnewspapers whilst job briefed announcement school leader actually put plan operation fielding question family school gate morning,False
1.3636306189790372e+18,2021-02-21 23:24:09+00:00,['1363630618979037184'],@tes @BorisJohnson It continues to dismay me that journalists/newspapers (whilst only doing their jobs) are briefed before the announcement - and before school leaders who actually have to put the plans into operation and will be fielding questions from families at the school gate in the morning,continues dismay journalistsnewspapers whilst job briefed announcement school leader actually put plan operation fielding question family school gate morning,False
1.3636305065590292e+18,2021-02-21 23:23:42+00:00,['1363630506559029248'],@miss_mcinerney It continues to dismay me that journalists/newspapers (whilst only doing their jobs) are briefed before the announcement - and before school leaders who actually have to put the plans into operation and will be fielding questions from families at the school gate in the morning,continues dismay journalistsnewspapers whilst job briefed announcement school leader actually put plan operation fielding question family school gate morning,False
1.363630171081818e+18,2021-02-21 23:22:22+00:00,['1363630171081818115'],@branwenjeffreys It continues to dismay me that journalists/newspapers (whilst only doing their jobs) are briefed before the announcement - and before school leaders who actually have to put the plans into operation and will be fielding questions from families at the school gate in the morning,continues dismay journalistsnewspapers whilst job briefed announcement school leader actually put plan operation fielding question family school gate morning,False
1.363207973678551e+18,2021-02-20 19:24:42+00:00,['1363207973678551047'],I’m thinking that @paulcooksonpoet is penning his next poem already... #blueswintoday,im thinking penning next poem already,False
1.363149799135019e+18,2021-02-20 15:33:32+00:00,['1363149799135019011'],"Thank you to everyone for your advice xxx 👍❤️💪
No eggs, half hour in the fridge before baking, frozen grated butter. Look like rock cakes... #teachjotobake https://t.co/uHZexn5Okg",thank everyone advice xxx egg half hour fridge baking frozen grated butter look like rock cake,False
1.3631491016264008e+18,2021-02-20 15:30:46+00:00,['1363149101626400771'],"Batch number 2
Thank you to everyone for your advice xxx 👍❤️💪
No eggs, half hour in the fridge before baking, frozen grated butter. Look like rock cakes... #teachjotobake @ Bolton https://t.co/t25y4YAJgv",batch number thank everyone advice xxx egg half hour fridge baking frozen grated butter look like rock cake bolton,False
1.3631170961425285e+18,2021-02-20 13:23:35+00:00,['1363117096142528512'],@plusnethelp on hold for 30 minutes now... what would you suggest?,hold minute would suggest,False
1.3631157180578202e+18,2021-02-20 13:18:07+00:00,['1363115718057820162'],@plusnethelp been on hold for 25 minutes... any chance of some support?,hold minute chance support,False
1.3629012351505777e+18,2021-02-19 23:05:50+00:00,['1362901235150577664'],Rosamund Pike is incredibly beautiful,rosamund pike incredibly beautiful,False
1.362797395046785e+18,2021-02-19 16:13:13+00:00,['1362797395046785024'],Not risen that much again and I think they were too long in the oven or the oven was too hot? #teachjotobake https://t.co/bmwZcoRPlD,risen much think long oven oven wa hot,False
1.3627970813925376e+18,2021-02-19 16:11:58+00:00,['1362797081392537605'],Not risen that much again and I think they were too long in the oven or the oven was too hot? #teachjotobake @ Bolton https://t.co/6lsFLEIlEG,risen much think long oven oven wa hot bolton,False
1.362507428609155e+18,2021-02-18 21:00:59+00:00,['1362507428609155072'],Landing confirmed!!! Well done team @NASA #Mars2020  History made once again @ Mars https://t.co/UFxUk6aIRr,landing confirmed well done team history made mar,False
1.362506795307131e+18,2021-02-18 20:58:28+00:00,['1362506795307130888'],Landing confirmed!!! Well done team @NASA #Mars2020 History made once again,landing confirmed well done team history made,False
1.3623921968093755e+18,2021-02-18 13:23:06+00:00,['1362392196809375748'],Thank you Lizzie for my gin. There was no need but I am grateful! Hope that we can share a glass or two soon xxxx ❤️❤️❤️❤️ https://t.co/5xxf0A0LAJ,thank lizzie gin wa need grateful hope share glass two soon xxxx,False
1.3623915857538867e+18,2021-02-18 13:20:40+00:00,['1362391585753886727'],Thank you for my gin. There was no need but I am grateful! Hope that we can share a glass or two soon xxxx ❤️❤️❤️❤️ https://t.co/fTxN1SrIdb,thank gin wa need grateful hope share glass two soon xxxx,False
1.362068867510657e+18,2021-02-17 15:58:18+00:00,['1362068867510657024'],@BBCSimonMcCoy @BBCNews Cathy Killick’s package on the news just now was SO moving and further proof that our @NHSuk is priceless as are the people that work for it. Well done all involved in the telling of Cathy’s story and my prayers are with the family,cathy killicks package news wa moving proof priceless people work well done involved telling cathys story prayer family,False
1.361770790732116e+18,2021-02-16 20:13:51+00:00,['1361770790732115968'],@mrdanwalker @weetabix @HeinzUK I’m assuming that they’re banned from the #eggclub for the time be-an #badjokesbanfromtheeggclub,im assuming theyre banned time bean,False
1.361374395789369e+18,2021-02-15 17:58:43+00:00,['1361374395789369348'],@thinker_teacher Similarly every teacher should do a year in year6...,similarly every teacher year year,False
1.361301679010906e+18,2021-02-15 13:09:46+00:00,['1361301679010906115'],Anyone fancy a Creme egg?? Not that pretty and full of calories but a Creme egg brownie is rather tempting ... #teachjotobake @CadburyWorld https://t.co/JXJI2HIXhA,anyone fancy creme egg pretty full calorie creme egg brownie rather tempting,False
1.3613012062918738e+18,2021-02-15 13:07:53+00:00,['1361301206291873793'],Anyone fancy a Creme egg?? Not that pretty and full of calories but a Creme egg brownie is rather tempting ... #teachjotobake @ Bolton https://t.co/68bC8Il3as,anyone fancy creme egg pretty full calorie creme egg brownie rather tempting bolton,False
1.3612860206632837e+18,2021-02-15 12:07:33+00:00,['1361286020663283713'],Just posted a photo https://t.co/5811nF4M0t,posted photo,False
1.361285420055724e+18,2021-02-15 12:05:10+00:00,['1361285420055724034'],"School leaders &amp; staff are genuinely looking forward to opening on the 8th if we can. But we need the staff to do that; if we continue to lose staff to Covid related absence, how can we maintain bubbles &amp; keep schools open? #teachersarenotimmune @GavinWilliamson @BorisJohnson",school leader amp staff genuinely looking forward opening th need staff continue lose staff covid related absence maintain bubble amp keep school open,False
1.3610047204883948e+18,2021-02-14 17:29:46+00:00,['1361004720488394757'],Just posted a photo https://t.co/TDfwoiIcCQ,posted photo,False
1.3608806597666447e+18,2021-02-14 09:16:47+00:00,['1360880659766644742'],"Roses are red 
For Valentines Day
Hope there’s no Covid
Contact tracing today 
#headteacherjoke

Have a lovely day everyone",rose red valentine day hope covid contact tracing today lovely day everyone,False
1.360666805606482e+18,2021-02-13 19:07:01+00:00,['1360666805606481926'],Carrot cake with cream cheese frosting #teachjotobake https://t.co/ZUeaN52W4j,carrot cake cream cheese frosting,False
1.3606663922914017e+18,2021-02-13 19:05:22+00:00,['1360666392291401734'],Carrot cake with cream cheese and walnut frosting #teachjotobake @ Bolton https://t.co/r4sqcbMT5n,carrot cake cream cheese walnut frosting bolton,False
1.360641863720575e+18,2021-02-13 17:27:54+00:00,['1360641863720574976'],"#grumpyoldwoman 

£63...£63 for just the glass replacement for my @VWGroup @Inchcape_VW wing mirror. £63 £63 

And that doesn’t include fitting @ Bolton https://t.co/13OT657gGs",glass replacement wing mirror doesnt include fitting bolton,False
1.3606414416267428e+18,2021-02-13 17:26:13+00:00,['1360641441626742793'],"#grumpyoldwoman 

£63...£63 for just the glass replacement for my @VWGroup @Inchcape_VW wing mirror. £63 £63 

And that doesn’t include fitting https://t.co/qhIWeMWct0",glass replacement wing mirror doesnt include fitting,False
1.3606372349034783e+18,2021-02-13 17:09:30+00:00,['1360637234903478279'],Very useful for the vertically challenged amongst us https://t.co/omQqYOdUzX,useful vertically challenged amongst u,False
